case,event,startTime,
0,Activity A,6/27/2018 18:38:47,
0,Activity H,6/27/2018 18:40:47,
0,Activity C,6/27/2018 18:41:47,
0,Activity E,6/27/2018 18:42:47,
0,Activity F,6/27/2018 18:43:47,
0,Activity E,6/27/2018 18:44:47,
0,Activity D,6/27/2018 18:45:47,
0,Activity G,6/27/2018 18:46:47,
0,Activity B,6/27/2018 18:48:47,
1,Activity A,6/27/2018 18:39:05,
1,Activity H,6/27/2018 18:41:05,
1,Activity C,6/27/2018 18:42:05,
1,Activity E,6/27/2018 18:43:05,
1,Activity D,6/27/2018 18:44:05,
1,Activity G,6/27/2018 18:45:05,
1,Activity B,6/27/2018 18:47:05,
