"case","event","startTime","completeTime","simulated:logProbability","concept:simulated"
"0","Activity A","2018/07/02 17:19:27.659","2018/07/02 17:19:27.659","-3.1780538303479458","true"
"0","Activity C","2018/07/02 17:21:27.659","2018/07/02 17:21:27.659","-3.1780538303479458","true"
"0","Activity E","2018/07/02 17:22:27.659","2018/07/02 17:22:27.659","-3.1780538303479458","true"
"0","Activity D","2018/07/02 17:23:27.659","2018/07/02 17:23:27.659","-3.1780538303479458","true"
"0","Activity G","2018/07/02 17:24:27.659","2018/07/02 17:24:27.659","-3.1780538303479458","true"
"0","Activity H","2018/07/02 17:25:27.659","2018/07/02 17:25:27.659","-3.1780538303479458","true"
"0","Activity B","2018/07/02 17:27:27.659","2018/07/02 17:27:27.659","-3.1780538303479458","true"
"1","Activity A","2018/07/02 17:19:54.841","2018/07/02 17:19:54.841","-2.0794415416798357","true"
"1","Activity C","2018/07/02 17:21:54.841","2018/07/02 17:21:54.841","-2.0794415416798357","true"
"1","Activity H","2018/07/02 17:22:54.841","2018/07/02 17:22:54.841","-2.0794415416798357","true"
"1","Activity E","2018/07/02 17:23:54.841","2018/07/02 17:23:54.841","-2.0794415416798357","true"
"1","Activity D","2018/07/02 17:24:54.841","2018/07/02 17:24:54.841","-2.0794415416798357","true"
"1","Activity G","2018/07/02 17:25:54.841","2018/07/02 17:25:54.841","-2.0794415416798357","true"
"1","Activity B","2018/07/02 17:27:54.841","2018/07/02 17:27:54.841","-2.0794415416798357","true"
"2","Activity A","2018/07/02 17:20:50.079","2018/07/02 17:20:50.079","-3.4657359027997265","true"
"2","Activity C","2018/07/02 17:22:50.079","2018/07/02 17:22:50.079","-3.4657359027997265","true"
"2","Activity H","2018/07/02 17:23:50.079","2018/07/02 17:23:50.079","-3.4657359027997265","true"
"2","Activity E","2018/07/02 17:24:50.079","2018/07/02 17:24:50.079","-3.4657359027997265","true"
"2","Activity F","2018/07/02 17:25:50.079","2018/07/02 17:25:50.079","-3.4657359027997265","true"
"2","Activity E","2018/07/02 17:26:50.079","2018/07/02 17:26:50.079","-3.4657359027997265","true"
"2","Activity F","2018/07/02 17:27:50.079","2018/07/02 17:27:50.079","-3.4657359027997265","true"
"2","Activity E","2018/07/02 17:28:50.079","2018/07/02 17:28:50.079","-3.4657359027997265","true"
"2","Activity D","2018/07/02 17:29:50.079","2018/07/02 17:29:50.079","-3.4657359027997265","true"
"2","Activity G","2018/07/02 17:30:50.079","2018/07/02 17:30:50.079","-3.4657359027997265","true"
"2","Activity B","2018/07/02 17:32:50.079","2018/07/02 17:32:50.079","-3.4657359027997265","true"
"3","Activity A","2018/07/02 17:21:05.958","2018/07/02 17:21:05.958","-6.761572768804056","true"
"3","Activity C","2018/07/02 17:23:05.958","2018/07/02 17:23:05.958","-6.761572768804056","true"
"3","Activity E","2018/07/02 17:24:05.958","2018/07/02 17:24:05.958","-6.761572768804056","true"
"3","Activity F","2018/07/02 17:25:05.958","2018/07/02 17:25:05.958","-6.761572768804056","true"
"3","Activity E","2018/07/02 17:26:05.958","2018/07/02 17:26:05.958","-6.761572768804056","true"
"3","Activity F","2018/07/02 17:27:05.958","2018/07/02 17:27:05.958","-6.761572768804056","true"
"3","Activity E","2018/07/02 17:28:05.958","2018/07/02 17:28:05.958","-6.761572768804056","true"
"3","Activity D","2018/07/02 17:29:05.958","2018/07/02 17:29:05.958","-6.761572768804056","true"
"3","Activity H","2018/07/02 17:30:05.958","2018/07/02 17:30:05.958","-6.761572768804056","true"
"3","Activity G","2018/07/02 17:31:05.958","2018/07/02 17:31:05.958","-6.761572768804056","true"
"3","Activity B","2018/07/02 17:33:05.958","2018/07/02 17:33:05.958","-6.761572768804056","true"
"4","Activity A","2018/07/02 17:23:34.105","2018/07/02 17:23:34.105","-1.3862943611198906","true"
"4","Activity H","2018/07/02 17:25:34.105","2018/07/02 17:25:34.105","-1.3862943611198906","true"
"4","Activity C","2018/07/02 17:26:34.105","2018/07/02 17:26:34.105","-1.3862943611198906","true"
"4","Activity E","2018/07/02 17:27:34.105","2018/07/02 17:27:34.105","-1.3862943611198906","true"
"4","Activity D","2018/07/02 17:28:34.105","2018/07/02 17:28:34.105","-1.3862943611198906","true"
"4","Activity G","2018/07/02 17:29:34.105","2018/07/02 17:29:34.105","-1.3862943611198906","true"
"4","Activity B","2018/07/02 17:31:34.105","2018/07/02 17:31:34.105","-1.3862943611198906","true"
"5","Activity A","2018/07/02 17:24:03.713","2018/07/02 17:24:03.713","-2.0794415416798357","true"
"5","Activity H","2018/07/02 17:26:03.713","2018/07/02 17:26:03.713","-2.0794415416798357","true"
"5","Activity C","2018/07/02 17:27:03.713","2018/07/02 17:27:03.713","-2.0794415416798357","true"
"5","Activity E","2018/07/02 17:28:03.713","2018/07/02 17:28:03.713","-2.0794415416798357","true"
"5","Activity F","2018/07/02 17:29:03.713","2018/07/02 17:29:03.713","-2.0794415416798357","true"
"5","Activity E","2018/07/02 17:30:03.713","2018/07/02 17:30:03.713","-2.0794415416798357","true"
"5","Activity D","2018/07/02 17:31:03.713","2018/07/02 17:31:03.713","-2.0794415416798357","true"
"5","Activity G","2018/07/02 17:32:03.713","2018/07/02 17:32:03.713","-2.0794415416798357","true"
"5","Activity B","2018/07/02 17:34:03.713","2018/07/02 17:34:03.713","-2.0794415416798357","true"
"6","Activity A","2018/07/02 17:25:07.305","2018/07/02 17:25:07.305","-3.1780538303479458","true"
"6","Activity C","2018/07/02 17:27:07.305","2018/07/02 17:27:07.305","-3.1780538303479458","true"
"6","Activity E","2018/07/02 17:28:07.305","2018/07/02 17:28:07.305","-3.1780538303479458","true"
"6","Activity D","2018/07/02 17:29:07.305","2018/07/02 17:29:07.305","-3.1780538303479458","true"
"6","Activity G","2018/07/02 17:30:07.305","2018/07/02 17:30:07.305","-3.1780538303479458","true"
"6","Activity H","2018/07/02 17:31:07.305","2018/07/02 17:31:07.305","-3.1780538303479458","true"
"6","Activity B","2018/07/02 17:33:07.305","2018/07/02 17:33:07.305","-3.1780538303479458","true"
"7","Activity A","2018/07/02 17:25:47.571","2018/07/02 17:25:47.571","-5.2574953720277815","true"
"7","Activity C","2018/07/02 17:27:47.571","2018/07/02 17:27:47.571","-5.2574953720277815","true"
"7","Activity E","2018/07/02 17:28:47.571","2018/07/02 17:28:47.571","-5.2574953720277815","true"
"7","Activity H","2018/07/02 17:29:47.571","2018/07/02 17:29:47.571","-5.2574953720277815","true"
"7","Activity F","2018/07/02 17:30:47.571","2018/07/02 17:30:47.571","-5.2574953720277815","true"
"7","Activity E","2018/07/02 17:31:47.571","2018/07/02 17:31:47.571","-5.2574953720277815","true"
"7","Activity F","2018/07/02 17:32:47.571","2018/07/02 17:32:47.571","-5.2574953720277815","true"
"7","Activity E","2018/07/02 17:33:47.571","2018/07/02 17:33:47.571","-5.2574953720277815","true"
"7","Activity F","2018/07/02 17:34:47.571","2018/07/02 17:34:47.571","-5.2574953720277815","true"
"7","Activity E","2018/07/02 17:35:47.571","2018/07/02 17:35:47.571","-5.2574953720277815","true"
"7","Activity D","2018/07/02 17:36:47.571","2018/07/02 17:36:47.571","-5.2574953720277815","true"
"7","Activity G","2018/07/02 17:37:47.571","2018/07/02 17:37:47.571","-5.2574953720277815","true"
"7","Activity B","2018/07/02 17:39:47.571","2018/07/02 17:39:47.571","-5.2574953720277815","true"
"8","Activity A","2018/07/02 17:27:39.709","2018/07/02 17:27:39.709","-1.3862943611198906","true"
"8","Activity H","2018/07/02 17:29:39.709","2018/07/02 17:29:39.709","-1.3862943611198906","true"
"8","Activity C","2018/07/02 17:30:39.709","2018/07/02 17:30:39.709","-1.3862943611198906","true"
"8","Activity E","2018/07/02 17:31:39.709","2018/07/02 17:31:39.709","-1.3862943611198906","true"
"8","Activity D","2018/07/02 17:32:39.709","2018/07/02 17:32:39.709","-1.3862943611198906","true"
"8","Activity G","2018/07/02 17:33:39.709","2018/07/02 17:33:39.709","-1.3862943611198906","true"
"8","Activity B","2018/07/02 17:35:39.709","2018/07/02 17:35:39.709","-1.3862943611198906","true"
"9","Activity A","2018/07/02 17:28:36.469","2018/07/02 17:28:36.469","-5.2574953720277815","true"
"9","Activity C","2018/07/02 17:30:36.469","2018/07/02 17:30:36.469","-5.2574953720277815","true"
