activity,timestamp
Activity A,1/8/2018 00:25:00
Activity H,1/8/2018 00:27:00
Activity C,1/8/2018 00:28:00
Activity E,1/8/2018 00:29:00
Activity F,1/8/2018 00:30:00
Activity E,1/8/2018 00:31:00
Activity F,1/8/2018 00:32:00
Activity E,1/8/2018 00:33:00
Activity F,1/8/2018 00:34:00
Activity E,1/8/2018 00:35:00
Activity F,1/8/2018 00:36:00
Activity E,1/8/2018 00:37:00
Activity D,1/8/2018 00:38:00
Activity G,1/8/2018 00:39:00
Activity B,1/8/2018 00:41:00
Activity A,1/8/2018 03:47:00
Activity H,1/8/2018 03:49:00
Activity C,1/8/2018 03:50:00
Activity E,1/8/2018 03:51:00
Activity F,1/8/2018 03:52:00
Activity E,1/8/2018 03:53:00
Activity F,1/8/2018 03:54:00
Activity E,1/8/2018 03:55:00
Activity F,1/8/2018 03:56:00
Activity E,1/8/2018 03:57:00
Activity D,1/8/2018 03:58:00
Activity G,1/8/2018 03:59:00
Activity B,1/8/2018 04:01:00
Activity A,1/8/2018 04:03:00
Activity H,1/8/2018 04:05:00
Activity C,1/8/2018 04:06:00
Activity E,1/8/2018 04:07:00
Activity D,1/8/2018 04:08:00
Activity G,1/8/2018 04:09:00
Activity B,1/8/2018 04:11:00
Activity A,1/8/2018 05:32:00
Activity H,1/8/2018 05:34:00
Activity C,1/8/2018 05:35:00
Activity E,1/8/2018 05:36:00
Activity F,1/8/2018 05:37:00
Activity E,1/8/2018 05:38:00
Activity F,1/8/2018 05:39:00
Activity E,1/8/2018 05:40:00
Activity D,1/8/2018 05:41:00
Activity G,1/8/2018 05:42:00
Activity B,1/8/2018 05:44:00
Activity A,1/8/2018 06:49:00
Activity H,1/8/2018 06:51:00
Activity C,1/8/2018 06:52:00
Activity E,1/8/2018 06:53:00
Activity F,1/8/2018 06:54:00
Activity E,1/8/2018 06:55:00
Activity F,1/8/2018 06:56:00
Activity E,1/8/2018 06:57:00
Activity F,1/8/2018 06:58:00
Activity E,1/8/2018 06:59:00
Activity D,1/8/2018 07:00:00
Activity G,1/8/2018 07:01:00
Activity B,1/8/2018 07:03:00
Activity A,1/8/2018 12:07:00
Activity H,1/8/2018 12:09:00
Activity C,1/8/2018 12:10:00
Activity E,1/8/2018 12:11:00
Activity D,1/8/2018 12:12:00
Activity G,1/8/2018 12:13:00
Activity B,1/8/2018 12:15:00
Activity A,1/8/2018 12:24:00
Activity H,1/8/2018 12:26:00
Activity C,1/8/2018 12:27:00
Activity E,1/8/2018 12:28:00
Activity D,1/8/2018 12:29:00
Activity G,1/8/2018 12:30:00
Activity B,1/8/2018 12:32:00
Activity A,1/8/2018 13:02:00
Activity H,1/8/2018 13:04:00
Activity C,1/8/2018 13:05:00
Activity E,1/8/2018 13:06:00
Activity D,1/8/2018 13:07:00
Activity G,1/8/2018 13:08:00
Activity B,1/8/2018 13:10:00
Activity A,1/8/2018 13:12:00
Activity H,1/8/2018 13:14:00
Activity C,1/8/2018 13:15:00
Activity E,1/8/2018 13:16:00
Activity F,1/8/2018 13:17:00
Activity E,1/8/2018 13:18:00
Activity D,1/8/2018 13:19:00
Activity G,1/8/2018 13:20:00
Activity B,1/8/2018 13:22:00
Activity A,1/8/2018 13:24:00
Activity H,1/8/2018 13:26:00
Activity C,1/8/2018 13:27:00
Activity E,1/8/2018 13:28:00
Activity D,1/8/2018 13:29:00
Activity G,1/8/2018 13:30:00
Activity B,1/8/2018 13:32:00
Activity A,1/8/2018 14:08:00
Activity H,1/8/2018 14:10:00
Activity C,1/8/2018 14:11:00
Activity E,1/8/2018 14:12:00
Activity F,1/8/2018 14:13:00
Activity E,1/8/2018 14:14:00
Activity F,1/8/2018 14:15:00
Activity E,1/8/2018 14:16:00
Activity F,1/8/2018 14:17:00
Activity E,1/8/2018 14:18:00
Activity D,1/8/2018 14:19:00
Activity G,1/8/2018 14:20:00
Activity B,1/8/2018 14:22:00
Activity A,1/8/2018 14:34:00
Activity C,1/8/2018 14:36:00
Activity H,1/8/2018 14:37:00
Activity E,1/8/2018 14:38:00
Activity D,1/8/2018 14:39:00
Activity G,1/8/2018 14:40:00
Activity B,1/8/2018 14:42:00
Activity A,1/8/2018 15:49:00
Activity H,1/8/2018 15:51:00
Activity C,1/8/2018 15:52:00
Activity E,1/8/2018 15:53:00
Activity D,1/8/2018 15:54:00
Activity G,1/8/2018 15:55:00
Activity B,1/8/2018 15:57:00
Activity A,1/8/2018 17:38:00
Activity C,1/8/2018 17:40:00
Activity A,1/8/2018 17:40:00
Activity H,1/8/2018 17:41:00
Activity E,1/8/2018 17:42:00
Activity C,1/8/2018 17:42:00
Activity F,1/8/2018 17:43:00
Activity E,1/8/2018 17:43:00
Activity E,1/8/2018 17:44:00
Activity H,1/8/2018 17:44:00
Activity D,1/8/2018 17:45:00
Activity F,1/8/2018 17:45:00
Activity G,1/8/2018 17:46:00
Activity E,1/8/2018 17:46:00
Activity F,1/8/2018 17:47:00
Activity B,1/8/2018 17:48:00
Activity E,1/8/2018 17:48:00
Activity F,1/8/2018 17:49:00
Activity E,1/8/2018 17:50:00
Activity F,1/8/2018 17:51:00
Activity E,1/8/2018 17:52:00
Activity F,1/8/2018 17:53:00
Activity E,1/8/2018 17:54:00
Activity F,1/8/2018 17:55:00
Activity E,1/8/2018 17:56:00
Activity D,1/8/2018 17:57:00
Activity G,1/8/2018 17:58:00
Activity B,1/8/2018 18:00:00
Activity A,1/8/2018 19:41:00
Activity H,1/8/2018 19:43:00
Activity C,1/8/2018 19:44:00
Activity E,1/8/2018 19:45:00
Activity D,1/8/2018 19:46:00
Activity G,1/8/2018 19:47:00
Activity B,1/8/2018 19:49:00
Activity A,1/8/2018 19:56:00
Activity H,1/8/2018 19:58:00
Activity C,1/8/2018 19:59:00
Activity E,1/8/2018 20:00:00
Activity F,1/8/2018 20:01:00
Activity E,1/8/2018 20:02:00
Activity D,1/8/2018 20:03:00
Activity G,1/8/2018 20:04:00
Activity B,1/8/2018 20:06:00
Activity A,1/8/2018 20:13:00
Activity H,1/8/2018 20:15:00
Activity C,1/8/2018 20:16:00
Activity E,1/8/2018 20:17:00
Activity D,1/8/2018 20:18:00
Activity G,1/8/2018 20:19:00
Activity B,1/8/2018 20:21:00
Activity A,1/9/2018 00:24:00
Activity H,1/9/2018 00:26:00
Activity C,1/9/2018 00:27:00
Activity E,1/9/2018 00:28:00
Activity D,1/9/2018 00:29:00
Activity G,1/9/2018 00:30:00
Activity B,1/9/2018 00:32:00
Activity A,1/9/2018 00:37:00
Activity C,1/9/2018 00:39:00
Activity E,1/9/2018 00:40:00
Activity H,1/9/2018 00:41:00
Activity F,1/9/2018 00:42:00
Activity E,1/9/2018 00:43:00
Activity D,1/9/2018 00:44:00
Activity G,1/9/2018 00:45:00
Activity B,1/9/2018 00:47:00
Activity A,1/9/2018 03:42:00
Activity H,1/9/2018 03:44:00
Activity C,1/9/2018 03:45:00
Activity E,1/9/2018 03:46:00
Activity F,1/9/2018 03:47:00
Activity E,1/9/2018 03:48:00
Activity D,1/9/2018 03:49:00
Activity G,1/9/2018 03:50:00
Activity B,1/9/2018 03:52:00
Activity A,1/9/2018 04:02:00
Activity H,1/9/2018 04:04:00
Activity C,1/9/2018 04:05:00
Activity E,1/9/2018 04:06:00
Activity D,1/9/2018 04:07:00
Activity G,1/9/2018 04:08:00
Activity B,1/9/2018 04:10:00
Activity A,1/9/2018 07:12:00
Activity C,1/9/2018 07:14:00
Activity E,1/9/2018 07:15:00
Activity F,1/9/2018 07:16:00
Activity E,1/9/2018 07:17:00
Activity H,1/9/2018 07:18:00
Activity D,1/9/2018 07:19:00
Activity G,1/9/2018 07:20:00
Activity B,1/9/2018 07:22:00
Activity A,1/9/2018 08:04:00
Activity C,1/9/2018 08:06:00
Activity E,1/9/2018 08:07:00
Activity D,1/9/2018 08:08:00
Activity H,1/9/2018 08:09:00
Activity G,1/9/2018 08:10:00
Activity B,1/9/2018 08:12:00
Activity A,1/9/2018 08:24:00
Activity C,1/9/2018 08:26:00
Activity E,1/9/2018 08:27:00
Activity H,1/9/2018 08:28:00
Activity F,1/9/2018 08:29:00
Activity E,1/9/2018 08:30:00
Activity F,1/9/2018 08:31:00
Activity E,1/9/2018 08:32:00
Activity D,1/9/2018 08:33:00
Activity G,1/9/2018 08:34:00
Activity B,1/9/2018 08:36:00
Activity A,1/9/2018 10:49:00
Activity H,1/9/2018 10:51:00
Activity C,1/9/2018 10:52:00
Activity E,1/9/2018 10:53:00
Activity D,1/9/2018 10:54:00
Activity G,1/9/2018 10:55:00
Activity B,1/9/2018 10:57:00
Activity A,1/9/2018 13:35:00
Activity C,1/9/2018 13:37:00
Activity E,1/9/2018 13:38:00
Activity D,1/9/2018 13:39:00
Activity G,1/9/2018 13:40:00
Activity H,1/9/2018 13:41:00
Activity B,1/9/2018 13:43:00
Activity A,1/9/2018 14:55:00
Activity C,1/9/2018 14:57:00
Activity E,1/9/2018 14:58:00
Activity D,1/9/2018 14:59:00
Activity G,1/9/2018 15:00:00
Activity H,1/9/2018 15:01:00
Activity B,1/9/2018 15:03:00
Activity A,1/9/2018 16:49:00
Activity H,1/9/2018 16:51:00
Activity C,1/9/2018 16:52:00
Activity E,1/9/2018 16:53:00
Activity D,1/9/2018 16:54:00
Activity G,1/9/2018 16:55:00
Activity B,1/9/2018 16:57:00
Activity A,1/9/2018 20:02:00
Activity H,1/9/2018 20:04:00
Activity C,1/9/2018 20:05:00
Activity E,1/9/2018 20:06:00
Activity D,1/9/2018 20:07:00
Activity G,1/9/2018 20:08:00
Activity B,1/9/2018 20:10:00
Activity A,1/9/2018 21:17:00
Activity C,1/9/2018 21:19:00
Activity E,1/9/2018 21:20:00
Activity D,1/9/2018 21:21:00
Activity H,1/9/2018 21:22:00
Activity G,1/9/2018 21:23:00
Activity B,1/9/2018 21:25:00
Activity A,1/9/2018 21:32:00
Activity H,1/9/2018 21:34:00
Activity C,1/9/2018 21:35:00
Activity E,1/9/2018 21:36:00
Activity F,1/9/2018 21:37:00
Activity E,1/9/2018 21:38:00
Activity F,1/9/2018 21:39:00
Activity E,1/9/2018 21:40:00
Activity D,1/9/2018 21:41:00
Activity G,1/9/2018 21:42:00
Activity B,1/9/2018 21:44:00
Activity A,1/9/2018 22:38:00
Activity C,1/9/2018 22:40:00
Activity E,1/9/2018 22:41:00
Activity D,1/9/2018 22:42:00
Activity A,1/9/2018 22:42:00
Activity G,1/9/2018 22:43:00
Activity H,1/9/2018 22:44:00
Activity C,1/9/2018 22:44:00
Activity H,1/9/2018 22:45:00
Activity B,1/9/2018 22:46:00
