activity,timestamp,
Activity A,7/2/2018 17:19,
Activity A,7/2/2018 17:20,
Activity A,7/2/2018 17:21,
Activity C,7/2/2018 17:21,
Activity A,7/2/2018 17:21,
Activity A,7/2/2018 17:22,
Activity C,7/2/2018 17:22,
Activity E,7/2/2018 17:22,
Activity C,7/2/2018 17:23,
Activity H,7/2/2018 17:23,
Activity A,7/2/2018 17:23,
Activity D,7/2/2018 17:23,
Activity C,7/2/2018 17:23,
Activity H,7/2/2018 17:24,
Activity H,7/2/2018 17:24,
Activity A,7/2/2018 17:24,
Activity E,7/2/2018 17:24,
Activity A,7/2/2018 17:24,
Activity G,7/2/2018 17:24,
Activity E,7/2/2018 17:24,
Activity E,7/2/2018 17:25,
Activity C,7/2/2018 17:25,
Activity D,7/2/2018 17:25,
Activity A,7/2/2018 17:25,
Activity A,7/2/2018 17:25,
Activity H,7/2/2018 17:25,
Activity A,7/2/2018 17:25,
Activity H,7/2/2018 17:25,
Activity F,7/2/2018 17:25,
Activity F,7/2/2018 17:26,
Activity A,7/2/2018 17:26,
Activity E,7/2/2018 17:26,
Activity C,7/2/2018 17:26,
Activity G,7/2/2018 17:26,
Activity C,7/2/2018 17:26,
Activity C,7/2/2018 17:26,
Activity E,7/2/2018 17:26,
Activity E,7/2/2018 17:27,
Activity D,7/2/2018 17:27,
Activity E,7/2/2018 17:27,
Activity E,7/2/2018 17:27,
Activity A,7/2/2018 17:27,
Activity H,7/2/2018 17:27,
Activity C,7/2/2018 17:27,
Activity E,7/2/2018 17:27,
Activity H,7/2/2018 17:27,
Activity B,7/2/2018 17:27,
Activity F,7/2/2018 17:27,
Activity F,7/2/2018 17:28,
Activity C,7/2/2018 17:28,
Activity A,7/2/2018 17:28,
Activity G,7/2/2018 17:28,
Activity D,7/2/2018 17:28,
Activity B,7/2/2018 17:28,
Activity H,7/2/2018 17:28,
Activity C,7/2/2018 17:28,
Activity A,7/2/2018 17:28,
Activity A,7/2/2018 17:28,
