activity,timestamp
Activity A,7/02/2018 17:18
Z,7/02/2018 17:19
Activity C,7/02/2018 17:20
Z,7/02/2018 17:20
Activity A,7/02/2018 17:21
Activity C,7/02/2018 17:22
Activity E,7/02/2018 17:23
Activity H,7/02/2018 17:24
Activity D,7/02/2018 17:25
Activity E,7/02/2018 17:26
Activity G,7/02/2018 17:27
Activity D,7/02/2018 17:28
Activity H,7/02/2018 17:29
Activity G,7/02/2018 17:30
Activity B,7/02/2018 17:31
Activity B,7/02/2018 17:32
Z,7/02/2018 17:33
Activity A,8/02/2018 17:34
Activity H,9/02/2018 17:35
