activity,timestamp
Activity A,08/01/2018 00:25
Activity H,08/01/2018 00:27
Activity C,08/01/2018 00:28
Activity E,08/01/2018 00:29
Activity F,08/01/2018 00:30
Activity E,08/01/2018 00:31
Activity F,08/01/2018 00:32
Activity E,08/01/2018 00:33
Activity F,08/01/2018 00:34
Activity E,08/01/2018 00:35
Activity F,08/01/2018 00:36
Activity E,08/01/2018 00:37
Activity D,08/01/2018 00:38
Activity G,08/01/2018 00:39
Activity B,08/01/2018 00:41
Activity A,08/01/2018 03:47
Activity H,08/01/2018 03:49
Activity C,08/01/2018 03:50
Activity E,08/01/2018 03:51
Activity F,08/01/2018 03:52
Activity E,08/01/2018 03:53
Activity F,08/01/2018 03:54
Activity E,08/01/2018 03:55
Activity F,08/01/2018 03:56
Activity E,08/01/2018 03:57
Activity D,08/01/2018 03:58
Activity G,08/01/2018 03:59
Activity B,08/01/2018 04:01
Activity A,08/01/2018 04:03
Activity H,08/01/2018 04:05
Activity C,08/01/2018 04:06
Activity E,08/01/2018 04:07
Activity D,08/01/2018 04:08
Activity G,08/01/2018 04:09
Activity B,08/01/2018 04:11
Activity A,08/01/2018 05:32
Activity H,08/01/2018 05:34
Activity C,08/01/2018 05:35
Activity E,08/01/2018 05:36
Activity F,08/01/2018 05:37
Activity E,08/01/2018 05:38
Activity F,08/01/2018 05:39
Activity E,08/01/2018 05:40
Activity D,08/01/2018 05:41
Activity G,08/01/2018 05:42
Activity B,08/01/2018 05:44
Activity A,08/01/2018 06:49
Activity H,08/01/2018 06:51
Activity C,08/01/2018 06:52
Activity E,08/01/2018 06:53
Activity F,08/01/2018 06:54
Activity E,08/01/2018 06:55
Activity F,08/01/2018 06:56
Activity E,08/01/2018 06:57
Activity F,08/01/2018 06:58
Activity E,08/01/2018 06:59
Activity D,08/01/2018 07:00
Activity G,08/01/2018 07:01
Activity B,08/01/2018 07:03
Activity A,08/01/2018 12:07
Activity H,08/01/2018 12:09
Activity C,08/01/2018 12:10
Activity E,08/01/2018 12:11
Activity D,08/01/2018 12:12
Activity G,08/01/2018 12:13
Activity B,08/01/2018 12:15
Activity A,08/01/2018 12:24
Activity H,08/01/2018 12:26
Activity C,08/01/2018 12:27
Activity E,08/01/2018 12:28
Activity D,08/01/2018 12:29
Activity G,08/01/2018 12:30
Activity B,08/01/2018 12:32
Activity A,08/01/2018 13:02
Activity H,08/01/2018 13:04
Activity C,08/01/2018 13:05
Activity E,08/01/2018 13:06
Activity D,08/01/2018 13:07
Activity G,08/01/2018 13:08
Activity B,08/01/2018 13:10
Activity A,08/01/2018 13:12
Activity H,08/01/2018 13:14
Activity C,08/01/2018 13:15
Activity E,08/01/2018 13:16
Activity F,08/01/2018 13:17
Activity E,08/01/2018 13:18
Activity D,08/01/2018 13:19
Activity G,08/01/2018 13:20
Activity B,08/01/2018 13:22
Activity A,08/01/2018 13:24
Activity H,08/01/2018 13:26
Activity C,08/01/2018 13:27
Activity E,08/01/2018 13:28
Activity D,08/01/2018 13:29
Activity G,08/01/2018 13:30
Activity B,08/01/2018 13:32
Activity A,08/01/2018 14:08
Activity H,08/01/2018 14:10
Activity C,08/01/2018 14:11
Activity E,08/01/2018 14:12
Activity F,08/01/2018 14:13
Activity E,08/01/2018 14:14
Activity F,08/01/2018 14:15
Activity E,08/01/2018 14:16
