activity,timestamp
Activity A,11/19/2018 00:39:39
Activity A,11/19/2018 00:40:51
Activity C,11/19/2018 00:41:39
Activity E,11/19/2018 00:42:39
Activity H,11/19/2018 00:42:51
Activity H,11/19/2018 00:43:39
Activity C,11/19/2018 00:43:51
Activity F,11/19/2018 00:44:39
Activity E,11/19/2018 00:44:51
Activity E,11/19/2018 00:45:39
Activity F,11/19/2018 00:45:51
Activity I,11/19/2018 00:46:39
Activity E,11/19/2018 00:46:51
Activity J,11/19/2018 00:47:39
Activity I,11/19/2018 00:47:51
Activity L,11/19/2018 00:48:39
Activity J,11/19/2018 00:48:51
Activity A,11/19/2018 00:48:56
Activity K,11/19/2018 00:49:39
Activity M,11/19/2018 00:49:51
Activity G,11/19/2018 00:50:39
Activity K,11/19/2018 00:50:51
Activity H,11/19/2018 00:50:56
Activity A,11/19/2018 00:51:24
Activity G,11/19/2018 00:51:51
Activity C,11/19/2018 00:51:56
Activity A,11/19/2018 00:52:04
Activity A,11/19/2018 00:52:06
Activity B,11/19/2018 00:52:39
Activity E,11/19/2018 00:52:56
Activity C,11/19/2018 00:53:24
Activity B,11/19/2018 00:53:51
Activity F,11/19/2018 00:53:56
Activity C,11/19/2018 00:54:04
Activity H,11/19/2018 00:54:06
Activity H,11/19/2018 00:54:24
Activity E,11/19/2018 00:54:56
Activity E,11/19/2018 00:55:04
Activity C,11/19/2018 00:55:06
Activity E,11/19/2018 00:55:24
Activity I,11/19/2018 00:55:56
Activity F,11/19/2018 00:56:04
Activity E,11/19/2018 00:56:06
Activity F,11/19/2018 00:56:24
Activity A,11/19/2018 00:56:47
Activity J,11/19/2018 00:56:56
Activity E,11/19/2018 00:57:04
Activity F,11/19/2018 00:57:06
Activity E,11/19/2018 00:57:24
Activity A,11/19/2018 00:57:48
Activity L,11/19/2018 00:57:56
Activity I,11/19/2018 00:58:04
Activity E,11/19/2018 00:58:06
Activity I,11/19/2018 00:58:24
Activity C,11/19/2018 00:58:47
Activity K,11/19/2018 00:58:56
Activity A,11/19/2018 00:58:58
Activity J,11/19/2018 00:59:04
Activity I,11/19/2018 00:59:06
Activity J,11/19/2018 00:59:24
Activity E,11/19/2018 00:59:47
Activity C,11/19/2018 00:59:48
Activity G,11/19/2018 00:59:56
Activity L,11/19/2018 01:00:04
Activity J,11/19/2018 01:00:06
Activity A,11/19/2018 01:00:19
Activity M,11/19/2018 01:00:24
Activity A,11/19/2018 01:00:28
Activity I,11/19/2018 01:00:47
Activity E,11/19/2018 01:00:48
Activity C,11/19/2018 01:00:58
Activity H,11/19/2018 01:01:04
Activity M,11/19/2018 01:01:06
Activity K,11/19/2018 01:01:24
Activity J,11/19/2018 01:01:47
Activity F,11/19/2018 01:01:48
Activity B,11/19/2018 01:01:56
Activity E,11/19/2018 01:01:58
Activity K,11/19/2018 01:02:04
Activity K,11/19/2018 01:02:06
Activity H,11/19/2018 01:02:19
Activity G,11/19/2018 01:02:24
Activity H,11/19/2018 01:02:28
Activity M,11/19/2018 01:02:47
Activity E,11/19/2018 01:02:48
Activity H,11/19/2018 01:02:58
Activity G,11/19/2018 01:03:04
Activity G,11/19/2018 01:03:06
Activity C,11/19/2018 01:03:19
Activity C,11/19/2018 01:03:28
Activity K,11/19/2018 01:03:47
Activity F,11/19/2018 01:03:48
Activity I,11/19/2018 01:03:58
Activity E,11/19/2018 01:04:19
Activity B,11/19/2018 01:04:24
Activity A,11/19/2018 01:04:25
Activity E,11/19/2018 01:04:28
Activity H,11/19/2018 01:04:47
Activity H,11/19/2018 01:04:48
Activity J,11/19/2018 01:04:58
Activity B,11/19/2018 01:05:04
Activity B,11/19/2018 01:05:06
