case id,activity,timestamp
0,Activity A,11/19/2018 00:39:39
0,Activity C,11/19/2018 00:41:39
0,Activity E,11/19/2018 00:42:39
0,Activity H,11/19/2018 00:43:39
0,Activity F,11/19/2018 00:44:39
0,Activity E,11/19/2018 00:45:39
0,Activity I,11/19/2018 00:46:39
0,Activity J,11/19/2018 00:47:39
0,Activity L,11/19/2018 00:48:39
0,Activity K,11/19/2018 00:49:39
0,Activity G,11/19/2018 00:50:39
0,Activity B,11/19/2018 00:52:39
1,Activity A,11/19/2018 00:40:51
1,Activity H,11/19/2018 00:42:51
1,Activity C,11/19/2018 00:43:51
1,Activity E,11/19/2018 00:44:51
1,Activity F,11/19/2018 00:45:51
1,Activity E,11/19/2018 00:46:51
1,Activity I,11/19/2018 00:47:51
1,Activity J,11/19/2018 00:48:51
1,Activity M,11/19/2018 00:49:51
1,Activity K,11/19/2018 00:50:51
1,Activity G,11/19/2018 00:51:51
1,Activity B,11/19/2018 00:53:51
2,Activity A,11/19/2018 00:48:56
2,Activity H,11/19/2018 00:50:56
2,Activity C,11/19/2018 00:51:56
2,Activity E,11/19/2018 00:52:56
2,Activity F,11/19/2018 00:53:56
2,Activity E,11/19/2018 00:54:56
2,Activity I,11/19/2018 00:55:56
2,Activity J,11/19/2018 00:56:56
2,Activity L,11/19/2018 00:57:56
2,Activity K,11/19/2018 00:58:56
2,Activity G,11/19/2018 00:59:56
2,Activity B,11/19/2018 01:01:56
3,Activity A,11/19/2018 00:51:24
3,Activity C,11/19/2018 00:53:24
3,Activity H,11/19/2018 00:54:24
3,Activity E,11/19/2018 00:55:24
3,Activity F,11/19/2018 00:56:24
3,Activity E,11/19/2018 00:57:24
3,Activity I,11/19/2018 00:58:24
3,Activity J,11/19/2018 00:59:24
3,Activity M,11/19/2018 01:00:24
3,Activity K,11/19/2018 01:01:24
3,Activity G,11/19/2018 01:02:24
3,Activity B,11/19/2018 01:04:24
4,Activity A,11/19/2018 00:52:04
4,Activity C,11/19/2018 00:54:04
4,Activity E,11/19/2018 00:55:04
4,Activity F,11/19/2018 00:56:04
4,Activity E,11/19/2018 00:57:04
4,Activity I,11/19/2018 00:58:04
4,Activity J,11/19/2018 00:59:04
4,Activity L,11/19/2018 01:00:04
4,Activity H,11/19/2018 01:01:04
4,Activity K,11/19/2018 01:02:04
