case id ,activity,timestamp
0,Activity R,11/19/2018 18:28:58
0,Activity T,11/19/2018 18:29:58
0,Activity S,11/19/2018 18:30:58
0,Activity H,11/19/2018 18:32:58
0,Activity C,11/19/2018 18:33:58
0,Activity E,11/19/2018 18:34:58
0,Activity F,11/19/2018 18:35:58
0,Activity E,11/19/2018 18:36:58
0,Activity F,11/19/2018 18:37:58
0,Activity E,11/19/2018 18:38:58
0,Activity O,11/19/2018 18:39:58
0,Activity P,11/19/2018 18:40:58
0,Activity Q,11/19/2018 18:41:58
0,Activity J,11/19/2018 18:42:58
0,Activity L,11/19/2018 18:43:58
0,Activity K,11/19/2018 18:44:58
0,Activity N,11/19/2018 18:45:58
0,Activity B,11/19/2018 18:47:58
1,Activity R,11/19/2018 18:31:44
1,Activity U,11/19/2018 18:32:44
1,Activity S,11/19/2018 18:33:44
1,Activity H,11/19/2018 18:35:44
1,Activity C,11/19/2018 18:36:44
1,Activity E,11/19/2018 18:37:44
1,Activity F,11/19/2018 18:38:44
1,Activity E,11/19/2018 18:39:44
1,Activity F,11/19/2018 18:40:44
1,Activity E,11/19/2018 18:41:44
1,Activity F,11/19/2018 18:42:44
1,Activity E,11/19/2018 18:43:44
1,Activity O,11/19/2018 18:44:44
1,Activity P,11/19/2018 18:45:44
1,Activity Q,11/19/2018 18:46:44
1,Activity J,11/19/2018 18:47:44
1,Activity L,11/19/2018 18:48:44
1,Activity K,11/19/2018 18:49:44
1,Activity N,11/19/2018 18:50:44
1,Activity B,11/19/2018 18:52:44
2,Activity R,11/19/2018 18:34:32
2,Activity T,11/19/2018 18:35:32
2,Activity S,11/19/2018 18:36:32
2,Activity C,11/19/2018 18:38:32
2,Activity H,11/19/2018 18:39:32
2,Activity E,11/19/2018 18:40:32
2,Activity F,11/19/2018 18:41:32
2,Activity E,11/19/2018 18:42:32
2,Activity O,11/19/2018 18:43:32
2,Activity P,11/19/2018 18:44:32
2,Activity Q,11/19/2018 18:45:32
2,Activity J,11/19/2018 18:46:32
2,Activity L,11/19/2018 18:47:32
2,Activity K,11/19/2018 18:48:32
2,Activity N,11/19/2018 18:49:32
2,Activity B,11/19/2018 18:51:32
3,Activity R,11/19/2018 18:42:45
3,Activity T,11/19/2018 18:43:45
3,Activity S,11/19/2018 18:44:45
3,Activity H,11/19/2018 18:46:45
3,Activity C,11/19/2018 18:47:45
3,Activity E,11/19/2018 18:48:45
3,Activity O,11/19/2018 18:49:45
3,Activity P,11/19/2018 18:50:45
3,Activity Q,11/19/2018 18:51:45
3,Activity J,11/19/2018 18:52:45
3,Activity M,11/19/2018 18:53:45
3,Activity K,11/19/2018 18:54:45
3,Activity N,11/19/2018 18:55:45
3,Activity B,11/19/2018 18:57:45
4,Activity R,11/19/2018 18:43:31
4,Activity U,11/19/2018 18:44:31
4,Activity S,11/19/2018 18:45:31
4,Activity H,11/19/2018 18:47:31
4,Activity C,11/19/2018 18:48:31
4,Activity E,11/19/2018 18:49:31
4,Activity F,11/19/2018 18:50:31
4,Activity E,11/19/2018 18:51:31
4,Activity O,11/19/2018 18:52:31
4,Activity P,11/19/2018 18:53:31
4,Activity Q,11/19/2018 18:54:31
4,Activity J,11/19/2018 18:55:31
4,Activity M,11/19/2018 18:56:31
4,Activity K,11/19/2018 18:57:31
4,Activity N,11/19/2018 18:58:31
4,Activity B,11/19/2018 19:00:31
5,Activity R,11/19/2018 18:44:22
5,Activity U,11/19/2018 18:45:22
5,Activity S,11/19/2018 18:46:22
5,Activity H,11/19/2018 18:48:22
5,Activity C,11/19/2018 18:49:22
5,Activity E,11/19/2018 18:50:22
5,Activity O,11/19/2018 18:51:22
5,Activity P,11/19/2018 18:52:22
5,Activity Q,11/19/2018 18:53:22
5,Activity J,11/19/2018 18:54:22
5,Activity M,11/19/2018 18:55:22
5,Activity K,11/19/2018 18:56:22
5,Activity N,11/19/2018 18:57:22
5,Activity B,11/19/2018 18:59:22
6,Activity R,11/19/2018 18:45:56
6,Activity U,11/19/2018 18:46:56
6,Activity S,11/19/2018 18:47:56
6,Activity C,11/19/2018 18:49:56
6,Activity H,11/19/2018 18:50:56
6,Activity E,11/19/2018 18:51:56
6,Activity O,11/19/2018 18:52:56
6,Activity P,11/19/2018 18:53:56
6,Activity Q,11/19/2018 18:54:56
6,Activity J,11/19/2018 18:55:56
6,Activity M,11/19/2018 18:56:56
6,Activity K,11/19/2018 18:57:56
6,Activity N,11/19/2018 18:58:56
6,Activity B,11/19/2018 19:00:56
7,Activity R,11/19/2018 18:47:32
7,Activity T,11/19/2018 18:48:32
7,Activity S,11/19/2018 18:49:32
7,Activity H,11/19/2018 18:51:32
7,Activity C,11/19/2018 18:52:32
7,Activity E,11/19/2018 18:53:32
7,Activity F,11/19/2018 18:54:32
7,Activity E,11/19/2018 18:55:32
7,Activity O,11/19/2018 18:56:32
7,Activity P,11/19/2018 18:57:32
7,Activity Q,11/19/2018 18:58:32
7,Activity J,11/19/2018 18:59:32
7,Activity L,11/19/2018 19:00:32
7,Activity K,11/19/2018 19:01:32
7,Activity N,11/19/2018 19:02:32
7,Activity B,11/19/2018 19:04:32
8,Activity R,11/19/2018 18:49:20
8,Activity U,11/19/2018 18:50:20
8,Activity S,11/19/2018 18:51:20
8,Activity H,11/19/2018 18:53:20
8,Activity C,11/19/2018 18:54:20
8,Activity E,11/19/2018 18:55:20
8,Activity F,11/19/2018 18:56:20
8,Activity E,11/19/2018 18:57:20
8,Activity F,11/19/2018 18:58:20
8,Activity E,11/19/2018 18:59:20
8,Activity O,11/19/2018 19:00:20
8,Activity P,11/19/2018 19:01:20
8,Activity Q,11/19/2018 19:02:20
8,Activity J,11/19/2018 19:03:20
8,Activity M,11/19/2018 19:04:20
8,Activity K,11/19/2018 19:05:20
8,Activity N,11/19/2018 19:06:20
8,Activity B,11/19/2018 19:08:20
9,Activity R,11/19/2018 18:49:55
9,Activity U,11/19/2018 18:50:55
9,Activity S,11/19/2018 18:51:55
9,Activity C,11/19/2018 18:53:55
9,Activity E,11/19/2018 18:54:55
9,Activity O,11/19/2018 18:55:55
9,Activity H,11/19/2018 18:56:55
9,Activity P,11/19/2018 18:57:55
9,Activity Q,11/19/2018 18:58:55
9,Activity J,11/19/2018 18:59:55
9,Activity M,11/19/2018 19:00:55
9,Activity K,11/19/2018 19:01:55
9,Activity N,11/19/2018 19:02:55
9,Activity B,11/19/2018 19:04:55
10,Activity R,11/19/2018 18:52:45
10,Activity U,11/19/2018 18:53:45
10,Activity S,11/19/2018 18:54:45
10,Activity C,11/19/2018 18:56:45
10,Activity E,11/19/2018 18:57:45
10,Activity O,11/19/2018 18:58:45
10,Activity H,11/19/2018 18:59:45
10,Activity P,11/19/2018 19:00:45
10,Activity Q,11/19/2018 19:01:45
10,Activity J,11/19/2018 19:02:45
10,Activity L,11/19/2018 19:03:45
10,Activity K,11/19/2018 19:04:45
10,Activity N,11/19/2018 19:05:45
10,Activity B,11/19/2018 19:07:45
11,Activity R,11/19/2018 18:53:28
11,Activity T,11/19/2018 18:54:28
11,Activity S,11/19/2018 18:55:28
11,Activity C,11/19/2018 18:57:28
11,Activity E,11/19/2018 18:58:28
11,Activity H,11/19/2018 18:59:28
11,Activity O,11/19/2018 19:00:28
11,Activity P,11/19/2018 19:01:28
11,Activity Q,11/19/2018 19:02:28
11,Activity J,11/19/2018 19:03:28
11,Activity M,11/19/2018 19:04:28
11,Activity K,11/19/2018 19:05:28
11,Activity N,11/19/2018 19:06:28
11,Activity B,11/19/2018 19:08:28
12,Activity R,11/19/2018 19:04:12
12,Activity T,11/19/2018 19:05:12
12,Activity S,11/19/2018 19:06:12
12,Activity C,11/19/2018 19:08:12
12,Activity E,11/19/2018 19:09:12
12,Activity O,11/19/2018 19:10:12
12,Activity P,11/19/2018 19:11:12
12,Activity H,11/19/2018 19:12:12
12,Activity Q,11/19/2018 19:13:12
12,Activity J,11/19/2018 19:14:12
12,Activity L,11/19/2018 19:15:12
12,Activity K,11/19/2018 19:16:12
12,Activity N,11/19/2018 19:17:12
12,Activity B,11/19/2018 19:19:12
13,Activity R,11/19/2018 19:06:15
13,Activity T,11/19/2018 19:07:15
13,Activity S,11/19/2018 19:08:15
13,Activity C,11/19/2018 19:10:15
13,Activity H,11/19/2018 19:11:15
13,Activity E,11/19/2018 19:12:15
13,Activity O,11/19/2018 19:13:15
13,Activity P,11/19/2018 19:14:15
13,Activity Q,11/19/2018 19:15:15
13,Activity J,11/19/2018 19:16:15
13,Activity M,11/19/2018 19:17:15
13,Activity K,11/19/2018 19:18:15
13,Activity N,11/19/2018 19:19:15
13,Activity B,11/19/2018 19:21:15
14,Activity R,11/19/2018 19:07:14
14,Activity U,11/19/2018 19:08:14
14,Activity S,11/19/2018 19:09:14
14,Activity C,11/19/2018 19:11:14
14,Activity E,11/19/2018 19:12:14
14,Activity O,11/19/2018 19:13:14
14,Activity H,11/19/2018 19:14:14
14,Activity P,11/19/2018 19:15:14
14,Activity Q,11/19/2018 19:16:14
14,Activity J,11/19/2018 19:17:14
14,Activity L,11/19/2018 19:18:14
14,Activity K,11/19/2018 19:19:14
14,Activity N,11/19/2018 19:20:14
14,Activity B,11/19/2018 19:22:14
15,Activity R,11/19/2018 19:10:31
15,Activity U,11/19/2018 19:11:31
15,Activity S,11/19/2018 19:12:31
15,Activity H,11/19/2018 19:14:31
15,Activity C,11/19/2018 19:15:31
15,Activity E,11/19/2018 19:16:31
15,Activity F,11/19/2018 19:17:31
15,Activity E,11/19/2018 19:18:31
15,Activity O,11/19/2018 19:19:31
15,Activity P,11/19/2018 19:20:31
15,Activity Q,11/19/2018 19:21:31
15,Activity J,11/19/2018 19:22:31
15,Activity M,11/19/2018 19:23:31
15,Activity K,11/19/2018 19:24:31
15,Activity N,11/19/2018 19:25:31
15,Activity B,11/19/2018 19:27:31
16,Activity R,11/19/2018 19:14:44
16,Activity U,11/19/2018 19:15:44
16,Activity S,11/19/2018 19:16:44
16,Activity C,11/19/2018 19:18:44
16,Activity E,11/19/2018 19:19:44
16,Activity H,11/19/2018 19:20:44
16,Activity F,11/19/2018 19:21:44
16,Activity E,11/19/2018 19:22:44
16,Activity O,11/19/2018 19:23:44
16,Activity P,11/19/2018 19:24:44
16,Activity Q,11/19/2018 19:25:44
16,Activity J,11/19/2018 19:26:44
16,Activity L,11/19/2018 19:27:44
16,Activity K,11/19/2018 19:28:44
16,Activity N,11/19/2018 19:29:44
16,Activity B,11/19/2018 19:31:44
17,Activity R,11/19/2018 19:27:09
17,Activity U,11/19/2018 19:28:09
17,Activity S,11/19/2018 19:29:09
17,Activity H,11/19/2018 19:31:09
17,Activity C,11/19/2018 19:32:09
17,Activity E,11/19/2018 19:33:09
17,Activity O,11/19/2018 19:34:09
17,Activity P,11/19/2018 19:35:09
17,Activity Q,11/19/2018 19:36:09
17,Activity J,11/19/2018 19:37:09
17,Activity L,11/19/2018 19:38:09
17,Activity K,11/19/2018 19:39:09
17,Activity N,11/19/2018 19:40:09
17,Activity B,11/19/2018 19:42:09
18,Activity R,11/19/2018 19:30:36
18,Activity T,11/19/2018 19:31:36
18,Activity S,11/19/2018 19:32:36
18,Activity C,11/19/2018 19:34:36
18,Activity E,11/19/2018 19:35:36
18,Activity F,11/19/2018 19:36:36
18,Activity H,11/19/2018 19:37:36
18,Activity E,11/19/2018 19:38:36
18,Activity F,11/19/2018 19:39:36
18,Activity E,11/19/2018 19:40:36
18,Activity F,11/19/2018 19:41:36
18,Activity E,11/19/2018 19:42:36
18,Activity O,11/19/2018 19:43:36
18,Activity P,11/19/2018 19:44:36
18,Activity Q,11/19/2018 19:45:36
18,Activity J,11/19/2018 19:46:36
18,Activity L,11/19/2018 19:47:36
18,Activity K,11/19/2018 19:48:36
18,Activity N,11/19/2018 19:49:36
18,Activity B,11/19/2018 19:51:36
19,Activity R,11/19/2018 19:32:55
19,Activity U,11/19/2018 19:33:55
19,Activity S,11/19/2018 19:34:55
19,Activity H,11/19/2018 19:36:55
19,Activity C,11/19/2018 19:37:55
19,Activity E,11/19/2018 19:38:55
19,Activity O,11/19/2018 19:39:55
19,Activity P,11/19/2018 19:40:55
19,Activity Q,11/19/2018 19:41:55
19,Activity J,11/19/2018 19:42:55
19,Activity M,11/19/2018 19:43:55
19,Activity K,11/19/2018 19:44:55
19,Activity N,11/19/2018 19:45:55
19,Activity B,11/19/2018 19:47:55
20,Activity R,11/19/2018 19:43:17
20,Activity T,11/19/2018 19:44:17
20,Activity S,11/19/2018 19:45:17
20,Activity C,11/19/2018 19:47:17
20,Activity E,11/19/2018 19:48:17
20,Activity O,11/19/2018 19:49:17
20,Activity P,11/19/2018 19:50:17
20,Activity Q,11/19/2018 19:51:17
20,Activity J,11/19/2018 19:52:17
20,Activity H,11/19/2018 19:53:17
20,Activity M,11/19/2018 19:54:17
20,Activity K,11/19/2018 19:55:17
20,Activity N,11/19/2018 19:56:17
20,Activity B,11/19/2018 19:58:17
21,Activity R,11/19/2018 19:51:35
21,Activity U,11/19/2018 19:52:35
21,Activity S,11/19/2018 19:53:35
21,Activity C,11/19/2018 19:55:35
21,Activity E,11/19/2018 19:56:35
21,Activity F,11/19/2018 19:57:35
21,Activity H,11/19/2018 19:58:35
21,Activity E,11/19/2018 19:59:35
21,Activity O,11/19/2018 20:00:35
21,Activity P,11/19/2018 20:01:35
21,Activity Q,11/19/2018 20:02:35
21,Activity J,11/19/2018 20:03:35
21,Activity M,11/19/2018 20:04:35
21,Activity K,11/19/2018 20:05:35
21,Activity N,11/19/2018 20:06:35
21,Activity B,11/19/2018 20:08:35
22,Activity R,11/19/2018 19:56:11
22,Activity U,11/19/2018 19:57:11
22,Activity S,11/19/2018 19:58:11
22,Activity C,11/19/2018 20:00:11
22,Activity H,11/19/2018 20:01:11
22,Activity E,11/19/2018 20:02:11
22,Activity O,11/19/2018 20:03:11
22,Activity P,11/19/2018 20:04:11
22,Activity Q,11/19/2018 20:05:11
22,Activity J,11/19/2018 20:06:11
22,Activity M,11/19/2018 20:07:11
22,Activity K,11/19/2018 20:08:11
22,Activity N,11/19/2018 20:09:11
22,Activity B,11/19/2018 20:11:11
23,Activity R,11/19/2018 19:57:35
23,Activity U,11/19/2018 19:58:35
23,Activity S,11/19/2018 19:59:35
23,Activity H,11/19/2018 20:01:35
23,Activity C,11/19/2018 20:02:35
23,Activity E,11/19/2018 20:03:35
23,Activity O,11/19/2018 20:04:35
23,Activity P,11/19/2018 20:05:35
23,Activity Q,11/19/2018 20:06:35
23,Activity J,11/19/2018 20:07:35
23,Activity M,11/19/2018 20:08:35
23,Activity K,11/19/2018 20:09:35
23,Activity N,11/19/2018 20:10:35
23,Activity B,11/19/2018 20:12:35
24,Activity R,11/19/2018 19:58:30
24,Activity T,11/19/2018 19:59:30
24,Activity S,11/19/2018 20:00:30
24,Activity H,11/19/2018 20:02:30
24,Activity C,11/19/2018 20:03:30
24,Activity E,11/19/2018 20:04:30
24,Activity F,11/19/2018 20:05:30
24,Activity E,11/19/2018 20:06:30
24,Activity F,11/19/2018 20:07:30
24,Activity E,11/19/2018 20:08:30
24,Activity O,11/19/2018 20:09:30
24,Activity P,11/19/2018 20:10:30
24,Activity Q,11/19/2018 20:11:30
24,Activity J,11/19/2018 20:12:30
24,Activity M,11/19/2018 20:13:30
24,Activity K,11/19/2018 20:14:30
24,Activity N,11/19/2018 20:15:30
24,Activity B,11/19/2018 20:17:30
25,Activity R,11/19/2018 19:58:53
25,Activity T,11/19/2018 19:59:53
25,Activity S,11/19/2018 20:00:53
25,Activity H,11/19/2018 20:02:53
25,Activity C,11/19/2018 20:03:53
25,Activity E,11/19/2018 20:04:53
25,Activity F,11/19/2018 20:05:53
25,Activity E,11/19/2018 20:06:53
25,Activity O,11/19/2018 20:07:53
25,Activity P,11/19/2018 20:08:53
25,Activity Q,11/19/2018 20:09:53
25,Activity J,11/19/2018 20:10:53
25,Activity M,11/19/2018 20:11:53
25,Activity K,11/19/2018 20:12:53
25,Activity N,11/19/2018 20:13:53
25,Activity B,11/19/2018 20:15:53
26,Activity R,11/19/2018 20:00:36
26,Activity U,11/19/2018 20:01:36
26,Activity S,11/19/2018 20:02:36
26,Activity H,11/19/2018 20:04:36
26,Activity C,11/19/2018 20:05:36
26,Activity E,11/19/2018 20:06:36
26,Activity F,11/19/2018 20:07:36
26,Activity E,11/19/2018 20:08:36
26,Activity F,11/19/2018 20:09:36
26,Activity E,11/19/2018 20:10:36
26,Activity O,11/19/2018 20:11:36
26,Activity P,11/19/2018 20:12:36
26,Activity Q,11/19/2018 20:13:36
26,Activity J,11/19/2018 20:14:36
26,Activity M,11/19/2018 20:15:36
26,Activity K,11/19/2018 20:16:36
26,Activity N,11/19/2018 20:17:36
26,Activity B,11/19/2018 20:19:36
27,Activity R,11/19/2018 20:11:54
27,Activity U,11/19/2018 20:12:54
27,Activity S,11/19/2018 20:13:54
27,Activity H,11/19/2018 20:15:54
27,Activity C,11/19/2018 20:16:54
27,Activity E,11/19/2018 20:17:54
27,Activity O,11/19/2018 20:18:54
27,Activity P,11/19/2018 20:19:54
27,Activity Q,11/19/2018 20:20:54
27,Activity J,11/19/2018 20:21:54
27,Activity M,11/19/2018 20:22:54
27,Activity K,11/19/2018 20:23:54
27,Activity N,11/19/2018 20:24:54
27,Activity B,11/19/2018 20:26:54
28,Activity R,11/19/2018 20:19:27
28,Activity U,11/19/2018 20:20:27
28,Activity S,11/19/2018 20:21:27
28,Activity C,11/19/2018 20:23:27
28,Activity H,11/19/2018 20:24:27
28,Activity E,11/19/2018 20:25:27
28,Activity F,11/19/2018 20:26:27
28,Activity E,11/19/2018 20:27:27
28,Activity O,11/19/2018 20:28:27
28,Activity P,11/19/2018 20:29:27
28,Activity Q,11/19/2018 20:30:27
28,Activity J,11/19/2018 20:31:27
28,Activity M,11/19/2018 20:32:27
28,Activity K,11/19/2018 20:33:27
28,Activity N,11/19/2018 20:34:27
28,Activity B,11/19/2018 20:36:27
29,Activity R,11/19/2018 20:20:45
29,Activity T,11/19/2018 20:21:45
29,Activity S,11/19/2018 20:22:45
29,Activity H,11/19/2018 20:24:45
29,Activity C,11/19/2018 20:25:45
29,Activity E,11/19/2018 20:26:45
29,Activity F,11/19/2018 20:27:45
29,Activity E,11/19/2018 20:28:45
29,Activity F,11/19/2018 20:29:45
29,Activity E,11/19/2018 20:30:45
29,Activity O,11/19/2018 20:31:45
29,Activity P,11/19/2018 20:32:45
29,Activity Q,11/19/2018 20:33:45
29,Activity J,11/19/2018 20:34:45
29,Activity M,11/19/2018 20:35:45
29,Activity K,11/19/2018 20:36:45
29,Activity N,11/19/2018 20:37:45
29,Activity B,11/19/2018 20:39:45
30,Activity R,11/19/2018 20:22:21
30,Activity U,11/19/2018 20:23:21
30,Activity S,11/19/2018 20:24:21
30,Activity C,11/19/2018 20:26:21
30,Activity E,11/19/2018 20:27:21
30,Activity F,11/19/2018 20:28:21
30,Activity H,11/19/2018 20:29:21
30,Activity E,11/19/2018 20:30:21
30,Activity F,11/19/2018 20:31:21
30,Activity E,11/19/2018 20:32:21
30,Activity F,11/19/2018 20:33:21
30,Activity E,11/19/2018 20:34:21
30,Activity O,11/19/2018 20:35:21
30,Activity P,11/19/2018 20:36:21
30,Activity Q,11/19/2018 20:37:21
30,Activity J,11/19/2018 20:38:21
30,Activity L,11/19/2018 20:39:21
30,Activity K,11/19/2018 20:40:21
30,Activity N,11/19/2018 20:41:21
30,Activity B,11/19/2018 20:43:21
31,Activity R,11/19/2018 20:24:32
31,Activity U,11/19/2018 20:25:32
31,Activity S,11/19/2018 20:26:32
31,Activity C,11/19/2018 20:28:32
31,Activity H,11/19/2018 20:29:32
31,Activity E,11/19/2018 20:30:32
31,Activity O,11/19/2018 20:31:32
31,Activity P,11/19/2018 20:32:32
31,Activity Q,11/19/2018 20:33:32
31,Activity J,11/19/2018 20:34:32
31,Activity M,11/19/2018 20:35:32
31,Activity K,11/19/2018 20:36:32
31,Activity N,11/19/2018 20:37:32
31,Activity B,11/19/2018 20:39:32
32,Activity R,11/19/2018 20:40:27
32,Activity U,11/19/2018 20:41:27
32,Activity S,11/19/2018 20:42:27
32,Activity C,11/19/2018 20:44:27
32,Activity E,11/19/2018 20:45:27
32,Activity O,11/19/2018 20:46:27
32,Activity P,11/19/2018 20:47:27
32,Activity Q,11/19/2018 20:48:27
32,Activity J,11/19/2018 20:49:27
32,Activity L,11/19/2018 20:50:27
32,Activity K,11/19/2018 20:51:27
32,Activity H,11/19/2018 20:52:27
32,Activity N,11/19/2018 20:53:27
