case id,activity,timestamp
0,Activity A,11/19/2018 18:25:18
0,Activity C,11/19/2018 18:27:18
0,Activity AA,11/19/2018 18:28:18
0,Activity E,11/19/2018 18:29:18
0,Activity O,11/19/2018 18:30:18
0,Activity P,11/19/2018 18:31:18
0,Activity Q,11/19/2018 18:32:18
0,Activity J,11/19/2018 18:33:18
0,Activity M,11/19/2018 18:34:18
0,Activity K,11/19/2018 18:35:18
0,Activity N,11/19/2018 18:36:18
0,Activity AB,11/19/2018 18:38:18
0,Activity B,11/19/2018 18:40:18
1,Activity A,11/19/2018 18:32:04
1,Activity AA,11/19/2018 18:34:04
1,Activity C,11/19/2018 18:36:04
1,Activity E,11/19/2018 18:37:04
1,Activity F,11/19/2018 18:38:04
1,Activity AB,11/19/2018 18:39:04
1,Activity E,11/19/2018 18:40:04
1,Activity O,11/19/2018 18:41:04
1,Activity P,11/19/2018 18:42:04
1,Activity Q,11/19/2018 18:43:04
1,Activity J,11/19/2018 18:44:04
1,Activity R,11/19/2018 18:45:04
1,Activity U,11/19/2018 18:46:04
1,Activity V,11/19/2018 18:47:04
1,Activity W,11/19/2018 18:48:04
1,Activity Z,11/19/2018 18:49:04
1,Activity X,11/19/2018 18:50:04
1,Activity S,11/19/2018 18:51:04
1,Activity K,11/19/2018 18:52:04
1,Activity N,11/19/2018 18:53:04
1,Activity B,11/19/2018 18:55:04
2,Activity A,11/19/2018 18:46:05
2,Activity AA,11/19/2018 18:48:05
2,Activity C,11/19/2018 18:49:05
2,Activity AC,11/19/2018 18:50:05
2,Activity E,11/19/2018 18:51:05
2,Activity O,11/19/2018 18:52:05
2,Activity AD,11/19/2018 18:53:05
2,Activity P,11/19/2018 18:54:05
2,Activity Q,11/19/2018 18:55:05
2,Activity J,11/19/2018 18:56:05
2,Activity AE,11/19/2018 18:57:05
2,Activity R,11/19/2018 18:58:05
2,Activity T,11/19/2018 18:59:05
2,Activity S,11/19/2018 19:00:05
2,Activity AB,11/19/2018 19:01:05
2,Activity K,11/19/2018 19:02:05
2,Activity N,11/19/2018 19:03:05
2,Activity B,11/19/2018 19:05:05
3,Activity A,11/19/2018 18:49:03
3,Activity C,11/19/2018 18:51:03
3,Activity AA,11/19/2018 18:52:03
3,Activity E,11/19/2018 18:54:03
3,Activity AB,11/19/2018 18:55:03
3,Activity O,11/19/2018 18:56:03
3,Activity P,11/19/2018 18:57:03
3,Activity Q,11/19/2018 18:58:03
3,Activity J,11/19/2018 18:59:03
3,Activity M,11/19/2018 19:00:03
3,Activity K,11/19/2018 19:01:03
3,Activity N,11/19/2018 19:02:03
3,Activity B,11/19/2018 19:04:03
4,Activity A,11/19/2018 18:53:34
4,Activity C,11/19/2018 18:55:34
4,Activity AA,11/19/2018 18:56:34
4,Activity E,11/19/2018 18:57:34
4,Activity AB,11/19/2018 18:59:34
4,Activity F,11/19/2018 19:00:34
4,Activity E,11/19/2018 19:01:34
4,Activity O,11/19/2018 19:02:34
4,Activity P,11/19/2018 19:03:34
4,Activity Q,11/19/2018 19:04:34
4,Activity J,11/19/2018 19:05:34
4,Activity M,11/19/2018 19:06:34
4,Activity K,11/19/2018 19:07:34
4,Activity N,11/19/2018 19:08:34
4,Activity B,11/19/2018 19:10:34
5,Activity A,11/19/2018 18:54:23
5,Activity AA,11/19/2018 18:56:23
5,Activity AC,11/19/2018 18:57:23
5,Activity C,11/19/2018 18:58:23
5,Activity AD,11/19/2018 18:59:23
5,Activity AE,11/19/2018 19:00:23
5,Activity AB,11/19/2018 19:01:23
5,Activity E,11/19/2018 19:02:23
5,Activity F,11/19/2018 19:03:23
5,Activity E,11/19/2018 19:04:23
5,Activity O,11/19/2018 19:05:23
5,Activity P,11/19/2018 19:06:23
5,Activity Q,11/19/2018 19:07:23
5,Activity J,11/19/2018 19:08:23
5,Activity M,11/19/2018 19:09:23
5,Activity K,11/19/2018 19:10:23
5,Activity N,11/19/2018 19:11:23
5,Activity B,11/19/2018 19:13:23
6,Activity A,11/19/2018 18:57:49
6,Activity AA,11/19/2018 18:59:49
6,Activity C,11/19/2018 19:01:49
6,Activity AB,11/19/2018 19:02:49
6,Activity E,11/19/2018 19:03:49
6,Activity O,11/19/2018 19:04:49
6,Activity P,11/19/2018 19:05:49
6,Activity Q,11/19/2018 19:06:49
6,Activity J,11/19/2018 19:07:49
6,Activity M,11/19/2018 19:08:49
6,Activity K,11/19/2018 19:09:49
6,Activity N,11/19/2018 19:10:49
6,Activity B,11/19/2018 19:12:49
7,Activity A,11/19/2018 19:02:51
7,Activity AA,11/19/2018 19:04:51
7,Activity AC,11/19/2018 19:05:51
7,Activity AD,11/19/2018 19:06:51
7,Activity C,11/19/2018 19:07:51
7,Activity E,11/19/2018 19:08:51
7,Activity O,11/19/2018 19:09:51
7,Activity P,11/19/2018 19:10:51
7,Activity Q,11/19/2018 19:11:51
7,Activity AE,11/19/2018 19:12:51
7,Activity J,11/19/2018 19:13:51
7,Activity AB,11/19/2018 19:14:51
7,Activity M,11/19/2018 19:15:51
7,Activity K,11/19/2018 19:16:51
7,Activity N,11/19/2018 19:17:51
7,Activity B,11/19/2018 19:19:51
8,Activity A,11/19/2018 19:13:21
8,Activity AA,11/19/2018 19:15:21
8,Activity AC,11/19/2018 19:16:21
8,Activity AD,11/19/2018 19:17:21
8,Activity AE,11/19/2018 19:18:21
8,Activity AB,11/19/2018 19:19:21
8,Activity C,11/19/2018 19:20:21
8,Activity E,11/19/2018 19:21:21
8,Activity O,11/19/2018 19:22:21
