"case","event","startTime","completeTime","simulated:logProbability","concept:simulated"
"0","Activity A","2018/11/19 18:25:18.458","2018/11/19 18:25:18.458","-11.443703995928274","true"
"0","Activity C","2018/11/19 18:27:18.458","2018/11/19 18:27:18.458","-11.443703995928274","true"
"0","Activity AA","2018/11/19 18:28:18.458","2018/11/19 18:28:18.458","-11.443703995928274","true"
"0","Activity E","2018/11/19 18:29:18.458","2018/11/19 18:29:18.458","-11.443703995928274","true"
"0","Activity O","2018/11/19 18:30:18.458","2018/11/19 18:30:18.458","-11.443703995928274","true"
"0","Activity P","2018/11/19 18:31:18.458","2018/11/19 18:31:18.458","-11.443703995928274","true"
"0","Activity Q","2018/11/19 18:32:18.458","2018/11/19 18:32:18.458","-11.443703995928274","true"
"0","Activity J","2018/11/19 18:33:18.458","2018/11/19 18:33:18.458","-11.443703995928274","true"
"0","Activity M","2018/11/19 18:34:18.458","2018/11/19 18:34:18.458","-11.443703995928274","true"
"0","Activity K","2018/11/19 18:35:18.458","2018/11/19 18:35:18.458","-11.443703995928274","true"
"0","Activity N","2018/11/19 18:36:18.458","2018/11/19 18:36:18.458","-11.443703995928274","true"
"0","Activity AB","2018/11/19 18:38:18.458","2018/11/19 18:38:18.458","-11.443703995928274","true"
"0","Activity B","2018/11/19 18:40:18.458","2018/11/19 18:40:18.458","-11.443703995928274","true"
"1","Activity A","2018/11/19 18:32:04.152","2018/11/19 18:32:04.152","-7.742402021815782","true"
"1","Activity AA","2018/11/19 18:34:04.152","2018/11/19 18:34:04.152","-7.742402021815782","true"
"1","Activity C","2018/11/19 18:36:04.152","2018/11/19 18:36:04.152","-7.742402021815782","true"
"1","Activity E","2018/11/19 18:37:04.152","2018/11/19 18:37:04.152","-7.742402021815782","true"
"1","Activity F","2018/11/19 18:38:04.152","2018/11/19 18:38:04.152","-7.742402021815782","true"
"1","Activity AB","2018/11/19 18:39:04.152","2018/11/19 18:39:04.152","-7.742402021815782","true"
"1","Activity E","2018/11/19 18:40:04.152","2018/11/19 18:40:04.152","-7.742402021815782","true"
"1","Activity O","2018/11/19 18:41:04.152","2018/11/19 18:41:04.152","-7.742402021815782","true"
"1","Activity P","2018/11/19 18:42:04.152","2018/11/19 18:42:04.152","-7.742402021815782","true"
"1","Activity Q","2018/11/19 18:43:04.152","2018/11/19 18:43:04.152","-7.742402021815782","true"
"1","Activity J","2018/11/19 18:44:04.152","2018/11/19 18:44:04.152","-7.742402021815782","true"
"1","Activity R","2018/11/19 18:45:04.152","2018/11/19 18:45:04.152","-7.742402021815782","true"
"1","Activity U","2018/11/19 18:46:04.152","2018/11/19 18:46:04.152","-7.742402021815782","true"
"1","Activity V","2018/11/19 18:47:04.152","2018/11/19 18:47:04.152","-7.742402021815782","true"
"1","Activity W","2018/11/19 18:48:04.152","2018/11/19 18:48:04.152","-7.742402021815782","true"
