"case","event","startTime","completeTime","simulated:logProbability","concept:simulated"
"0","Activity R","2018/11/19 18:21:39.153","2018/11/19 18:21:39.153","-8.723231274827508","true"
"0","Activity U","2018/11/19 18:22:39.153","2018/11/19 18:22:39.153","-8.723231274827508","true"
"0","Activity AL","2018/11/19 18:23:39.153","2018/11/19 18:23:39.153","-8.723231274827508","true"
"0","Activity AN","2018/11/19 18:24:39.153","2018/11/19 18:24:39.153","-8.723231274827508","true"
"0","Activity AM","2018/11/19 18:25:39.153","2018/11/19 18:25:39.153","-8.723231274827508","true"
"0","Activity C","2018/11/19 18:27:39.153","2018/11/19 18:27:39.153","-8.723231274827508","true"
"0","Activity V","2018/11/19 18:28:39.153","2018/11/19 18:28:39.153","-8.723231274827508","true"
"0","Activity H","2018/11/19 18:29:39.153","2018/11/19 18:29:39.153","-8.723231274827508","true"
"0","Activity X","2018/11/19 18:30:39.153","2018/11/19 18:30:39.153","-8.723231274827508","true"
"0","Activity W","2018/11/19 18:31:39.153","2018/11/19 18:31:39.153","-8.723231274827508","true"
"0","Activity F","2018/11/19 18:32:39.153","2018/11/19 18:32:39.153","-8.723231274827508","true"
"0","Activity V","2018/11/19 18:33:39.153","2018/11/19 18:33:39.153","-8.723231274827508","true"
"0","Activity Y","2018/11/19 18:34:39.153","2018/11/19 18:34:39.153","-8.723231274827508","true"
"0","Activity W","2018/11/19 18:35:39.153","2018/11/19 18:35:39.153","-8.723231274827508","true"
"0","Activity AO","2018/11/19 18:36:39.153","2018/11/19 18:36:39.153","-8.723231274827508","true"
"0","Activity AT","2018/11/19 18:38:39.153","2018/11/19 18:38:39.153","-8.723231274827508","true"
"0","Activity Z","2018/11/19 18:39:39.153","2018/11/19 18:39:39.153","-8.723231274827508","true"
"0","Activity Q","2018/11/19 18:40:39.153","2018/11/19 18:40:39.153","-8.723231274827508","true"
"0","Activity J","2018/11/19 18:41:39.153","2018/11/19 18:41:39.153","-8.723231274827508","true"
"0","Activity L","2018/11/19 18:42:39.153","2018/11/19 18:42:39.153","-8.723231274827508","true"
"0","Activity K","2018/11/19 18:43:39.153","2018/11/19 18:43:39.153","-8.723231274827508","true"
"0","Activity N","2018/11/19 18:44:39.153","2018/11/19 18:44:39.153","-8.723231274827508","true"
"0","Activity AG","2018/11/19 18:46:39.153","2018/11/19 18:46:39.153","-8.723231274827508","true"
"0","Activity AH","2018/11/19 18:47:39.153","2018/11/19 18:47:39.153","-8.723231274827508","true"
"0","Activity AK","2018/11/19 18:48:39.153","2018/11/19 18:48:39.153","-8.723231274827508","true"
"0","Activity AI","2018/11/19 18:49:39.153","2018/11/19 18:49:39.153","-8.723231274827508","true"
"1","Activity R","2018/11/19 18:31:22.904","2018/11/19 18:31:22.904","-7.6246189861593985","true"
"1","Activity AA","2018/11/19 18:32:22.904","2018/11/19 18:32:22.904","-7.6246189861593985","true"
