"caseId","activity","timestamp"
"0","START EVENT","63584562307550"
"1","START EVENT","63584562307550"
"1","START FUNCTION","63584565907550"
"0","START FUNCTION","63584565907550"
"0","helper transition 10[{XOR}->{XOR}]","63584569507550"
"1","helper transition 10[{XOR}->{XOR}]","63584569507550"
"0","helper transition 6[{XOR}->{retirement for lva to be carried out}]","63584573107550"
"1","helper transition 6[{XOR}->{retirement for lva to be carried out}]","63584573107550"
"1","retirement for lva to be carried out","63584576707550"
"0","retirement for lva to be carried out","63584576707550"
"1","helper transition 5[{retirement for lva to be carried out}->{XOR}]","63584580307550"
"0","helper transition 5[{retirement for lva to be carried out}->{XOR}]","63584580307550"
"0","retirement","63584583907550"
"1","retirement","63584583907550"
"0","helper transition 8[{XOR}->{retirement was posted and checked}]","63584587507550"
"1","helper transition 8[{XOR}->{retirement was posted and checked}]","63584587507550"
"1","retirement was posted and checked","63584591107550"
"0","retirement was posted and checked","63584591107550"
"2","START EVENT","63584691907550"
"3","START EVENT","63584691907550"
"2","START FUNCTION","63584695507550"
"2","START FUNCTION","63584695507550"
"2","helper transition 10[{XOR}->{XOR}]","63584699107550"
"2","helper transition 10[{XOR}->{XOR}]","63584699107550"
"2","helper transition 1[{XOR}->{retirements to be entered}]","63584702707550"
"2","helper transition 1[{XOR}->{retirements to be entered}]","63584702707550"
"2","retirements to be entered","63584706307550"
"2","retirements to be entered","63584706307550"
"2","helper transition 0[{retirements to be entered}->{XOR}]","63584709907550"
"2","helper transition 0[{retirements to be entered}->{XOR}]","63584709907550"
"2","retirement","63584713507550"
"2","retirement","63584713507550"
"2","helper transition 8[{XOR}->{retirement was posted and checked}]","63584717107550"
"2","helper transition 8[{XOR}->{retirement was posted and checked}]","63584717107550"
"2","retirement was posted and checked","63584720707550"
"2","retirement was posted and checked","63584720707550"
"4","START EVENT","63584853907550"
"5","START EVENT","63584853907550"
"2","START FUNCTION","63584857507550"
"2","START FUNCTION","63584857507550"
"2","xor/and helper 3","63584861107550"
"2","xor/and helper 3","63584861107550"
"2","start 1 transition","63584864707550"
"2","start 1 transition","63584864707550"
"2","worklist was created","63584868307550"
"2","worklist was created","63584868307550"
"2","start 2 transition","63584871907550"
"2","start 2 transition","63584871907550"
"2","plant section was shut down","63584875507550"
"2","plant section was shut down","63584875507550"
"2","plant section was sold","63584879107550"
"2","plant section was sold","63584879107550"
"2","fixed assets should be posted jointly","63584882707550"
"2","fixed assets should be posted jointly","63584882707550"
"2","0 transition","63584886307550"
"2","0 transition","63584886307550"
"2","9 transition","63584889907550"
"2","9 transition","63584889907550"
"2","mass retirement","63584893507550"
"2","mass retirement","63584893507550"
"2","helper transition 8[{XOR}->{retirement was posted and checked}]","63584897107550"
"2","helper transition 8[{XOR}->{retirement was posted and checked}]","63584897107550"
"2","retirement was posted and checked","63584900707550"
"2","retirement was posted and checked","63584900707550"
"6","START EVENT","63585105907550"
"7","START EVENT","63585105907550"
"2","START FUNCTION","63585109507550"
"2","START FUNCTION","63585109507550"
"2","xor/and helper 3","63585113107550"
"2","xor/and helper 3","63585113107550"
"2","start 1 transition","63585116707550"
"2","start 1 transition","63585116707550"
"2","worklist was created","63585120307550"
"2","worklist was created","63585120307550"
"2","start 2 transition","63585123907550"
"2","start 2 transition","63585123907550"
"2","plant section was shut down","63585127507550"
"2","plant section was shut down","63585127507550"
"2","fixed assets should be posted jointly","63585131107550"
"2","fixed assets should be posted jointly","63585131107550"
"2","plant section was sold","63585134707550"
"2","plant section was sold","63585134707550"
"2","0 transition","63585138307550"
"2","0 transition","63585138307550"
"2","9 transition","63585141907550"
"2","9 transition","63585141907550"
"2","mass retirement","63585145507550"
"2","mass retirement","63585145507550"
"2","helper transition 8[{XOR}->{retirement was posted and checked}]","63585149107550"
"2","helper transition 8[{XOR}->{retirement was posted and checked}]","63585149107550"
"2","retirement was posted and checked","63585152707550"
"2","retirement was posted and checked","63585152707550"
"8","START EVENT","63585307507550"
"9","START EVENT","63585307507550"
"2","START FUNCTION","63585311107550"
"2","START FUNCTION","63585311107550"
"2","xor/and helper 3","63585314707550"
"2","xor/and helper 3","63585314707550"
"2","start 1 transition","63585318307550"
"2","start 1 transition","63585318307550"
"2","worklist was created","63585321907550"
"2","worklist was created","63585321907550"
"2","start 2 transition","63585325507550"
"2","start 2 transition","63585325507550"
"2","plant section was sold","63585329107550"
"2","plant section was sold","63585329107550"
"2","plant section was shut down","63585332707550"
"2","plant section was shut down","63585332707550"
"2","fixed assets should be posted jointly","63585336307550"
"2","fixed assets should be posted jointly","63585336307550"
"2","0 transition","63585339907550"
"2","0 transition","63585339907550"
"2","9 transition","63585343507550"
"2","9 transition","63585343507550"
"2","mass retirement","63585347107550"
"2","mass retirement","63585347107550"
"2","helper transition 8[{XOR}->{retirement was posted and checked}]","63585350707550"
"2","helper transition 8[{XOR}->{retirement was posted and checked}]","63585350707550"
"2","retirement was posted and checked","63585354307550"
"2","retirement was posted and checked","63585354307550"
"10","START EVENT","63585458707550"
"11","START EVENT","63585458707550"
"2","START FUNCTION","63585462307550"
"2","START FUNCTION","63585462307550"
"2","xor/and helper 3","63585465907550"
"2","xor/and helper 3","63585465907550"
"2","start 1 transition","63585469507550"
"2","start 1 transition","63585469507550"
"2","worklist was created","63585473107550"
"2","worklist was created","63585473107550"
"2","start 2 transition","63585476707550"
"2","start 2 transition","63585476707550"
"2","plant section was sold","63585480307550"
"2","plant section was sold","63585480307550"
"2","fixed assets should be posted jointly","63585483907550"
"2","fixed assets should be posted jointly","63585483907550"
"2","plant section was shut down","63585487507550"
"2","plant section was shut down","63585487507550"
"2","0 transition","63585491107550"
"2","0 transition","63585491107550"
"2","9 transition","63585494707550"
"2","9 transition","63585494707550"
"2","mass retirement","63585498307550"
"2","mass retirement","63585498307550"
"2","helper transition 8[{XOR}->{retirement was posted and checked}]","63585501907550"
"2","helper transition 8[{XOR}->{retirement was posted and checked}]","63585501907550"
"2","retirement was posted and checked","63585505507550"
"2","retirement was posted and checked","63585505507550"
"12","START EVENT","63585660307550"
"13","START EVENT","63585660307550"
"2","START FUNCTION","63585663907550"
"2","START FUNCTION","63585663907550"
"2","xor/and helper 3","63585667507550"
"2","xor/and helper 3","63585667507550"
"2","start 1 transition","63585671107550"
"2","start 1 transition","63585671107550"
"2","worklist was created","63585674707550"
"2","worklist was created","63585674707550"
"2","start 2 transition","63585678307550"
"2","start 2 transition","63585678307550"
"2","fixed assets should be posted jointly","63585681907550"
"2","fixed assets should be posted jointly","63585681907550"
"2","plant section was shut down","63585685507550"
"2","plant section was shut down","63585685507550"
"2","plant section was sold","63585689107550"
"2","plant section was sold","63585689107550"
"2","0 transition","63585692707550"
"2","0 transition","63585692707550"
"2","9 transition","63585696307550"
"2","9 transition","63585696307550"
"2","mass retirement","63585699907550"
"2","mass retirement","63585699907550"
"2","helper transition 8[{XOR}->{retirement was posted and checked}]","63585703507550"
"2","helper transition 8[{XOR}->{retirement was posted and checked}]","63585703507550"
"2","retirement was posted and checked","63585707107550"
"2","retirement was posted and checked","63585707107550"
"14","START EVENT","63585861907550"
"15","START EVENT","63585861907550"
"2","START FUNCTION","63585865507550"
"2","START FUNCTION","63585865507550"
"2","xor/and helper 3","63585869107550"
"2","xor/and helper 3","63585869107550"
"2","start 1 transition","63585872707550"
"2","start 1 transition","63585872707550"
"2","worklist was created","63585876307550"
"2","worklist was created","63585876307550"
"2","start 2 transition","63585879907550"
"2","start 2 transition","63585879907550"
"2","fixed assets should be posted jointly","63585883507550"
"2","fixed assets should be posted jointly","63585883507550"
"2","plant section was sold","63585887107550"
"2","plant section was sold","63585887107550"
"2","plant section was shut down","63585890707550"
"2","plant section was shut down","63585890707550"
"2","0 transition","63585894307550"
"2","0 transition","63585894307550"
"2","9 transition","63585897907550"
"2","9 transition","63585897907550"
"2","mass retirement","63585901507550"
"2","mass retirement","63585901507550"
"2","helper transition 8[{XOR}->{retirement was posted and checked}]","63585905107550"
"2","helper transition 8[{XOR}->{retirement was posted and checked}]","63585905107550"
"2","retirement was posted and checked","63585908707550"
"2","retirement was posted and checked","63585908707550"
"16","START EVENT","63586063507550"
"17","START EVENT","63586063507550"
"2","START FUNCTION","63586067107550"
"2","START FUNCTION","63586067107550"
"2","xor/and helper 3","63586070707550"
"2","xor/and helper 3","63586070707550"
"2","start 1 transition","63586074307550"
"2","start 1 transition","63586074307550"
"2","start 2 transition","63586077907550"
"2","start 2 transition","63586077907550"
"2","plant section was shut down","63586081507550"
"2","plant section was shut down","63586081507550"
"2","worklist was created","63586085107550"
"2","worklist was created","63586085107550"
"2","plant section was sold","63586088707550"
"2","plant section was sold","63586088707550"
"2","fixed assets should be posted jointly","63586092307550"
"2","fixed assets should be posted jointly","63586092307550"
"2","0 transition","63586095907550"
"2","0 transition","63586095907550"
"2","9 transition","63586099507550"
"2","9 transition","63586099507550"
"2","mass retirement","63586103107550"
"2","mass retirement","63586103107550"
"2","helper transition 8[{XOR}->{retirement was posted and checked}]","63586106707550"
"2","helper transition 8[{XOR}->{retirement was posted and checked}]","63586106707550"
"2","retirement was posted and checked","63586110307550"
"2","retirement was posted and checked","63586110307550"
"18","START EVENT","63586214707550"
"19","START EVENT","63586214707550"
"2","START FUNCTION","63586218307550"
"2","START FUNCTION","63586218307550"
"2","xor/and helper 3","63586221907550"
"2","xor/and helper 3","63586221907550"
"2","start 1 transition","63586225507550"
"2","start 1 transition","63586225507550"
"2","start 2 transition","63586229107550"
"2","start 2 transition","63586229107550"
"2","plant section was shut down","63586232707550"
"2","plant section was shut down","63586232707550"
"2","worklist was created","63586236307550"
"2","worklist was created","63586236307550"
"2","fixed assets should be posted jointly","63586239907550"
"2","fixed assets should be posted jointly","63586239907550"
"2","plant section was sold","63586243507550"
"2","plant section was sold","63586243507550"
"2","0 transition","63586247107550"
"2","0 transition","63586247107550"
"2","9 transition","63586250707550"
"2","9 transition","63586250707550"
"2","mass retirement","63586254307550"
"2","mass retirement","63586254307550"
"2","helper transition 8[{XOR}->{retirement was posted and checked}]","63586257907550"
"2","helper transition 8[{XOR}->{retirement was posted and checked}]","63586257907550"
"2","retirement was posted and checked","63586261507550"
"2","retirement was posted and checked","63586261507550"
"20","START EVENT","63586365907550"
"21","START EVENT","63586365907550"
"2","START FUNCTION","63586369507550"
"2","START FUNCTION","63586369507550"
"2","xor/and helper 3","63586373107550"
"2","xor/and helper 3","63586373107550"
"2","start 1 transition","63586376707550"
"2","start 1 transition","63586376707550"
"2","start 2 transition","63586380307550"
"2","start 2 transition","63586380307550"
"2","plant section was shut down","63586383907550"
"2","plant section was shut down","63586383907550"
"2","plant section was sold","63586387507550"
"2","plant section was sold","63586387507550"
"2","worklist was created","63586391107550"
"2","worklist was created","63586391107550"
"2","fixed assets should be posted jointly","63586394707550"
"2","fixed assets should be posted jointly","63586394707550"
"2","0 transition","63586398307550"
"2","0 transition","63586398307550"
"2","9 transition","63586401907550"
"2","9 transition","63586401907550"
"2","mass retirement","63586405507550"
"2","mass retirement","63586405507550"
"2","helper transition 8[{XOR}->{retirement was posted and checked}]","63586409107550"
"2","helper transition 8[{XOR}->{retirement was posted and checked}]","63586409107550"
"2","retirement was posted and checked","63586412707550"
"2","retirement was posted and checked","63586412707550"
"22","START EVENT","63586617907550"
"23","START EVENT","63586617907550"
"2","START FUNCTION","63586621507550"
"2","START FUNCTION","63586621507550"
"2","xor/and helper 3","63586625107550"
"2","xor/and helper 3","63586625107550"
"2","start 1 transition","63586628707550"
"2","start 1 transition","63586628707550"
"2","start 2 transition","63586632307550"
"2","start 2 transition","63586632307550"
"2","plant section was shut down","63586635907550"
"2","plant section was shut down","63586635907550"
"2","plant section was sold","63586639507550"
"2","plant section was sold","63586639507550"
"2","fixed assets should be posted jointly","63586643107550"
"2","fixed assets should be posted jointly","63586643107550"
"2","worklist was created","63586646707550"
"2","worklist was created","63586646707550"
"2","0 transition","63586650307550"
"2","0 transition","63586650307550"
"2","9 transition","63586653907550"
"2","9 transition","63586653907550"
"2","mass retirement","63586657507550"
"2","mass retirement","63586657507550"
"2","helper transition 8[{XOR}->{retirement was posted and checked}]","63586661107550"
"2","helper transition 8[{XOR}->{retirement was posted and checked}]","63586661107550"
"2","retirement was posted and checked","63586664707550"
"2","retirement was posted and checked","63586664707550"
"24","START EVENT","63586819507550"
"25","START EVENT","63586819507550"
"2","START FUNCTION","63586823107550"
"2","START FUNCTION","63586823107550"
"2","xor/and helper 3","63586826707550"
"2","xor/and helper 3","63586826707550"
"2","start 1 transition","63586830307550"
"2","start 1 transition","63586830307550"
"2","start 2 transition","63586833907550"
"2","start 2 transition","63586833907550"
"2","plant section was shut down","63586837507550"
"2","plant section was shut down","63586837507550"
"2","plant section was sold","63586841107550"
"2","plant section was sold","63586841107550"
"2","fixed assets should be posted jointly","63586844707550"
"2","fixed assets should be posted jointly","63586844707550"
"2","0 transition","63586848307550"
"2","0 transition","63586848307550"
"2","worklist was created","63586851907550"
"2","worklist was created","63586851907550"
