"caseId","activity","timestamp"
"0","START EVENT","63588889507988"
"1","START EVENT","63588889507988"
"1","START EVENT","63590441107988"
"1","START EVENT","63590441107988"
"1","START FUNCTION","63590444707988"
"1","START FUNCTION","63588893107988"
"1","START FUNCTION","63590444707988"
"1","START FUNCTION","63588893107988"
"1","helper transition 21[{XOR}->{valuation leased asset is determined}]","63590448307988"
"1","helper transition 2[{XOR}->{fixed asset was given}]","63588896707988"
"1","helper transition 21[{XOR}->{valuation leased asset is determined}]","63590448307988"
"0","helper transition 2[{XOR}->{fixed asset was given}]","63588896707988"
"1","valuation leased asset is determined","63590451907988"
"1","fixed asset was given","63588900307988"
"1","valuation leased asset is determined","63590451907988"
"1","fixed asset was given","63588900307988"
"0","helper transition 1[{valuation leased asset is determined}->{XOR}]","63590455507988"
"1","helper transition 0[{fixed asset was given}->{XOR}]","63588903907988"
"1","helper transition 1[{valuation leased asset is determined}->{XOR}]","63590455507988"
"1","helper transition 0[{fixed asset was given}->{XOR}]","63588903907988"
"1","creation of master record for tangible assets","63590459107988"
"1","creation of master record for tangible assets","63590459107988"
"1","helper transition 19[{XOR}->{acquisition within group to be posted}]","63590462707988"
"0","creation of master record for tangible assets","63588907507988"
"1","helper transition 19[{XOR}->{acquisition within group to be posted}]","63590462707988"
"1","creation of master record for tangible assets","63588907507988"
"2","acquisition within group to be posted","63590466307988"
"3","helper transition 19[{XOR}->{acquisition within group to be posted}]","63588911107988"
"3","helper transition 9[{XOR}->{leased asset was bought}]","63586697107988"
"3","helper transition 9[{XOR}->{leased asset was bought}]","63586697107988"
"3","leased asset was bought","63586700707988"
"3","leased asset was bought","63586700707988"
"3","helper transition 5[{leased asset was bought}->{XOR}]","63586704307988"
"3","helper transition 5[{leased asset was bought}->{XOR}]","63586704307988"
"2","acquisition within group to be posted","63590466307988"
"1","processing of asset acquisition","63590469907988"
"3","processing of asset acquisition","63590469907988"
"1","acquisition within group posted","63590473507988"
"2","acquisition within group posted","63590473507988"
