"caseId","activity","timestamp"
"0","START EVENT","63584562307988"
"1","START EVENT","63584562307988"
"1","START FUNCTION","63584565907988"
"0","START FUNCTION","63584565907988"
"0","helper transition 14[{XOR}->{fixed asset was bought w/o purchase order}]","63584569507988"
"1","helper transition 14[{XOR}->{fixed asset was bought w/o purchase order}]","63584569507988"
"1","fixed asset was bought w/o purchase order","63584573107988"
"0","fixed asset was bought w/o purchase order","63584573107988"
"0","helper transition 11[{fixed asset was bought w/o purchase order}->{XOR}]","63584576707988"
"1","helper transition 11[{fixed asset was bought w/o purchase order}->{XOR}]","63584576707988"
"0","creation of master record for tangible assets","63584580307988"
"1","creation of master record for tangible assets","63584580307988"
"1","helper transition 19[{XOR}->{acquisition within group to be posted}]","63584583907988"
"0","helper transition 19[{XOR}->{acquisition within group to be posted}]","63584583907988"
"0","acquisition within group to be posted","63584587507988"
"1","acquisition within group to be posted","63584587507988"
"1","processing of asset acquisition","63584591107988"
"0","processing of asset acquisition","63584591107988"
"1","acquisition within group posted","63584594707988"
"0","acquisition within group posted","63584594707988"
"1","helper transition 15[{acquisition within group posted}->{XOR}]","63584598307988"
"0","helper transition 15[{acquisition within group posted}->{XOR}]","63584598307988"
"1","END FUNCTION","63584601907988"
"0","END FUNCTION","63584601907988"
"1","END EVENT","63584605507988"
"0","END EVENT","63584605507988"
"2","START EVENT","63584702707988"
"3","START EVENT","63584702707988"
"2","START FUNCTION","63584706307988"
"3","START FUNCTION","63584706307988"
"2","helper transition 14[{XOR}->{fixed asset was bought w/o purchase order}]","63584709907988"
"3","helper transition 14[{XOR}->{fixed asset was bought w/o purchase order}]","63584709907988"
"2","fixed asset was bought w/o purchase order","63584713507988"
"3","fixed asset was bought w/o purchase order","63584713507988"
"3","helper transition 11[{fixed asset was bought w/o purchase order}->{XOR}]","63584717107988"
"2","helper transition 11[{fixed asset was bought w/o purchase order}->{XOR}]","63584717107988"
"3","creation of master record for tangible assets","63584720707988"
"2","creation of master record for tangible assets","63584720707988"
"2","helper transition 4[{XOR}->{retirement within group to be posted}]","63584724307988"
"3","helper transition 4[{XOR}->{retirement within group to be posted}]","63584724307988"
"2","retirement within group to be posted","63584727907988"
"3","retirement within group to be posted","63584727907988"
"3","retirement","63584731507988"
"2","retirement","63584731507988"
"2","retirement from group posted","63584735107988"
"3","retirement from group posted","63584735107988"
"3","helper transition 7[{retirement from group posted}->{XOR}]","63584738707988"
"2","helper transition 7[{retirement from group posted}->{XOR}]","63584738707988"
"2","END FUNCTION","63584742307988"
"3","END FUNCTION","63584742307988"
"3","END EVENT","63584745907988"
"2","END EVENT","63584745907988"
"4","START EVENT","63584889907988"
"5","START EVENT","63584889907988"
"4","START FUNCTION","63584893507988"
"5","START FUNCTION","63584893507988"
"4","helper transition 14[{XOR}->{fixed asset was bought w/o purchase order}]","63584897107988"
"5","helper transition 14[{XOR}->{fixed asset was bought w/o purchase order}]","63584897107988"
"4","fixed asset was bought w/o purchase order","63584900707988"
"5","fixed asset was bought w/o purchase order","63584900707988"
