activity,timestamp
a,14/03/2019 04:32:36
a,14/03/2019 04:33:18
c,14/03/2019 04:33:36
c,14/03/2019 04:34:18
b,14/03/2019 04:34:36
b,14/03/2019 04:35:18
d,14/03/2019 04:35:36
d,14/03/2019 04:36:18
a,14/03/2019 04:36:19
b,14/03/2019 04:37:19
c,14/03/2019 04:38:19
a,14/03/2019 04:39:17
d,14/03/2019 04:39:19
c,14/03/2019 04:40:17
b,14/03/2019 04:41:17
a,14/03/2019 04:41:31
d,14/03/2019 04:42:17
a,14/03/2019 04:42:23
b,14/03/2019 04:42:31
a,14/03/2019 04:43:17
a,14/03/2019 04:43:18
b,14/03/2019 04:43:23
c,14/03/2019 04:43:31
c,14/03/2019 04:44:17
b,14/03/2019 04:44:18
c,14/03/2019 04:44:23
d,14/03/2019 04:44:31
a,14/03/2019 04:45:17
b,14/03/2019 04:45:17
c,14/03/2019 04:45:18
d,14/03/2019 04:45:23
a,14/03/2019 04:45:25
a,14/03/2019 04:46:02
c,14/03/2019 04:46:17
d,14/03/2019 04:46:17
d,14/03/2019 04:46:18
b,14/03/2019 04:46:25
c,14/03/2019 04:47:02
b,14/03/2019 04:47:17
c,14/03/2019 04:47:25
b,14/03/2019 04:48:02
d,14/03/2019 04:48:17
d,14/03/2019 04:48:25
d,14/03/2019 04:49:02
a,14/03/2019 04:49:22
a,14/03/2019 04:49:55
b,14/03/2019 04:50:22
a,14/03/2019 04:50:50
b,14/03/2019 04:50:55
c,14/03/2019 04:51:22
c,14/03/2019 04:51:50
c,14/03/2019 04:51:55
a,14/03/2019 04:52:18
d,14/03/2019 04:52:22
b,14/03/2019 04:52:50
d,14/03/2019 04:52:55
a,14/03/2019 04:52:57
b,14/03/2019 04:53:18
d,14/03/2019 04:53:50
c,14/03/2019 04:53:57
c,14/03/2019 04:54:18
a,14/03/2019 04:54:26
b,14/03/2019 04:54:57
d,14/03/2019 04:55:18
b,14/03/2019 04:55:26
d,14/03/2019 04:55:57
c,14/03/2019 04:56:26
a,14/03/2019 04:56:56
a,14/03/2019 04:57:18
d,14/03/2019 04:57:26
c,14/03/2019 04:57:56
a,14/03/2019 04:58:12
c,14/03/2019 04:58:18
b,14/03/2019 04:58:56
b,14/03/2019 04:59:12
b,14/03/2019 04:59:18
a,14/03/2019 04:59:40
a,14/03/2019 04:59:47
a,14/03/2019 04:59:53
d,14/03/2019 04:59:56
c,14/03/2019 05:00:12
d,14/03/2019 05:00:18
b,14/03/2019 05:00:40
c,14/03/2019 05:00:47
c,14/03/2019 05:00:53
d,14/03/2019 05:01:12
c,14/03/2019 05:01:40
b,14/03/2019 05:01:47
b,14/03/2019 05:01:53
a,14/03/2019 05:02:23
d,14/03/2019 05:02:40
d,14/03/2019 05:02:47
d,14/03/2019 05:02:53
b,14/03/2019 05:03:23
c,14/03/2019 05:04:23
a,14/03/2019 05:04:58
d,14/03/2019 05:05:23
b,14/03/2019 05:05:58
a,14/03/2019 05:06:18
c,14/03/2019 05:06:58
a,14/03/2019 05:07:17
c,14/03/2019 05:07:18
a,14/03/2019 05:07:34
d,14/03/2019 05:07:58
c,14/03/2019 05:08:17
