Activity,Timestamp
A,07/03/2019 05:43
B,07/03/2019 05:44
E,07/03/2019 05:45
A,07/03/2019 05:45
A,07/03/2019 05:45
C,07/03/2019 05:46
B,07/03/2019 05:46
B,07/03/2019 05:46
F,07/03/2019 05:47
E,07/03/2019 05:47
E,07/03/2019 05:47
A,07/03/2019 05:48
C,07/03/2019 05:48
C,07/03/2019 05:48
B,07/03/2019 05:49
F,07/03/2019 05:49
F,07/03/2019 05:49
A,07/03/2019 05:50
D,07/03/2019 05:50
A,07/03/2019 05:50
B,07/03/2019 05:51
A,07/03/2019 05:51
C,07/03/2019 05:51
B,07/03/2019 05:51
E,07/03/2019 05:52
B,07/03/2019 05:52
F,07/03/2019 05:52
C,07/03/2019 05:52
C,07/03/2019 05:53
D,07/03/2019 05:53
D,07/03/2019 05:53
A,07/03/2019 05:53
A,07/03/2019 05:53
F,07/03/2019 05:54
C,07/03/2019 05:54
F,07/03/2019 05:54
B,07/03/2019 05:54
B,07/03/2019 05:54
F,07/03/2019 05:55
D,07/03/2019 05:55
E,07/03/2019 05:55
C,07/03/2019 05:56
A,07/03/2019 05:56
C,07/03/2019 05:56
F,07/03/2019 05:57
B,07/03/2019 05:57
F,07/03/2019 05:57
D,07/03/2019 05:58
C,07/03/2019 05:59
F,07/03/2019 06:00
