event,startTime
A,07/03/2019 06:26:19
B,07/03/2019 06:27:19
E,07/03/2019 06:28:19
A,07/03/2019 06:29:06
C,07/03/2019 06:29:19
B,07/03/2019 06:30:06
F,07/03/2019 06:30:19
A,07/03/2019 06:30:47
E,07/03/2019 06:31:06
A,07/03/2019 06:31:24
B,07/03/2019 06:31:47
C,07/03/2019 06:32:06
B,07/03/2019 06:32:24
E,07/03/2019 06:32:47
A,07/03/2019 06:32:59
F,07/03/2019 06:33:06
A,07/03/2019 06:33:21
D,07/03/2019 06:33:24
C,07/03/2019 06:33:47
B,07/03/2019 06:33:59
B,07/03/2019 06:34:21
C,07/03/2019 06:34:24
F,07/03/2019 06:34:47
E,07/03/2019 06:34:59
C,07/03/2019 06:35:21
F,07/03/2019 06:35:24
C,07/03/2019 06:35:59
D,07/03/2019 06:36:21
F,07/03/2019 06:36:59
F,07/03/2019 06:37:21
A,07/03/2019 06:39:02
A,07/03/2019 06:39:31
B,07/03/2019 06:40:02
B,07/03/2019 06:40:31
A,07/03/2019 06:40:44
D,07/03/2019 06:41:02
D,07/03/2019 06:41:31
A,07/03/2019 06:41:35
B,07/03/2019 06:41:44
C,07/03/2019 06:42:02
C,07/03/2019 06:42:31
B,07/03/2019 06:42:35
E,07/03/2019 06:42:44
F,07/03/2019 06:43:02
F,07/03/2019 06:43:31
D,07/03/2019 06:43:35
A,07/03/2019 06:43:36
C,07/03/2019 06:43:44
C,07/03/2019 06:44:35
B,07/03/2019 06:44:36
F,07/03/2019 06:44:44
F,07/03/2019 06:45:35
C,07/03/2019 06:45:36
D,07/03/2019 06:46:36
F,07/03/2019 06:47:36
A,07/03/2019 06:47:44
A,07/03/2019 06:48:26
B,07/03/2019 06:48:44
A,07/03/2019 06:49:13
B,07/03/2019 06:49:26
E,07/03/2019 06:49:44
B,07/03/2019 06:50:13
E,07/03/2019 06:50:26
A,07/03/2019 06:50:31
A,07/03/2019 06:50:42
C,07/03/2019 06:50:44
E,07/03/2019 06:51:13
C,07/03/2019 06:51:26
B,07/03/2019 06:51:31
A,07/03/2019 06:51:39
B,07/03/2019 06:51:42
F,07/03/2019 06:51:44
C,07/03/2019 06:52:13
