activity,timestamp
START EVENT,635846000000000000.00
START FUNCTION,635846000000000000.00
start 0 transition,635846000000000000.00
investment support was created /changed,635846000000000000.00
claim for support exists,635846000000000000.00
2 transition,635846000000000000.00
application for investment support,635846000000000000.00
investment support is posted,635846000000000000.00
START EVENT,635847000000000000.00
START FUNCTION,635847000000000000.00
start 0 transition,635847000000000000.00
claim for support exists,635847000000000000.00
investment support was created /changed,635847000000000000.00
2 transition,635847000000000000.00
application for investment support,635847000000000000.00
investment support is posted,635847000000000000.00
