case,activity,timestamp
0,a,14/03/2019 04:31:33
1,a,14/03/2019 04:31:43
2,a,14/03/2019 04:32:28
0,b,14/03/2019 04:32:33
1,b,14/03/2019 04:32:43
2,c,14/03/2019 04:33:28
3,a,14/03/2019 04:33:33
0,d,14/03/2019 04:33:33
1,d,14/03/2019 04:33:43
2,d,14/03/2019 04:34:28
3,b,14/03/2019 04:34:33
4,a,14/03/2019 04:35:09
3,d,14/03/2019 04:35:33
4,b,14/03/2019 04:36:09
5,a,14/03/2019 04:36:29
6,a,14/03/2019 04:36:48
4,d,14/03/2019 04:37:09
5,c,14/03/2019 04:37:29
7,a,14/03/2019 04:37:43
6,b,14/03/2019 04:37:48
8,a,14/03/2019 04:37:57
5,d,14/03/2019 04:38:29
7,b,14/03/2019 04:38:43
6,d,14/03/2019 04:38:48
8,b,14/03/2019 04:38:57
9,a,14/03/2019 04:39:04
7,d,14/03/2019 04:39:43
8,d,14/03/2019 04:39:57
9,b,14/03/2019 04:40:04
10,a,14/03/2019 04:40:24
11,a,14/03/2019 04:40:52
9,d,14/03/2019 04:41:04
10,c,14/03/2019 04:41:24
11,b,14/03/2019 04:41:52
10,d,14/03/2019 04:42:24
12,a,14/03/2019 04:42:39
11,d,14/03/2019 04:42:52
13,a,14/03/2019 04:43:04
14,a,14/03/2019 04:43:32
12,c,14/03/2019 04:43:39
15,a,14/03/2019 04:43:58
13,c,14/03/2019 04:44:04
14,b,14/03/2019 04:44:32
12,d,14/03/2019 04:44:39
15,c,14/03/2019 04:44:58
13,d,14/03/2019 04:45:04
16,a,14/03/2019 04:45:04
14,d,14/03/2019 04:45:32
15,d,14/03/2019 04:45:58
16,c,14/03/2019 04:46:04
17,a,14/03/2019 04:46:39
18,a,14/03/2019 04:46:51
19,a,14/03/2019 04:46:56
16,d,14/03/2019 04:47:04
20,a,14/03/2019 04:47:28
17,b,14/03/2019 04:47:39
18,c,14/03/2019 04:47:51
19,b,14/03/2019 04:47:56
20,b,14/03/2019 04:48:28
21,a,14/03/2019 04:48:31
17,d,14/03/2019 04:48:39
18,d,14/03/2019 04:48:51
19,d,14/03/2019 04:48:56
20,d,14/03/2019 04:49:28
21,b,14/03/2019 04:49:31
22,a,14/03/2019 04:49:45
23,a,14/03/2019 04:50:20
21,d,14/03/2019 04:50:31
22,b,14/03/2019 04:50:45
23,c,14/03/2019 04:51:20
22,d,14/03/2019 04:51:45
24,a,14/03/2019 04:51:47
23,d,14/03/2019 04:52:20
24,b,14/03/2019 04:52:47
24,d,14/03/2019 04:53:47
25,a,14/03/2019 04:54:35
26,a,14/03/2019 04:54:44
27,a,14/03/2019 04:55:15
28,a,14/03/2019 04:55:32
25,b,14/03/2019 04:55:35
26,b,14/03/2019 04:55:44
29,a,14/03/2019 04:55:54
27,b,14/03/2019 04:56:15
28,b,14/03/2019 04:56:32
25,d,14/03/2019 04:56:35
26,d,14/03/2019 04:56:44
29,c,14/03/2019 04:56:54
27,d,14/03/2019 04:57:15
28,d,14/03/2019 04:57:32
29,d,14/03/2019 04:57:54
30,a,14/03/2019 04:58:06
30,b,14/03/2019 04:59:06
30,d,14/03/2019 05:00:06
31,a,14/03/2019 05:00:38
32,a,14/03/2019 05:00:58
33,a,14/03/2019 05:01:32
31,c,14/03/2019 05:01:38
32,c,14/03/2019 05:01:58
34,a,14/03/2019 05:01:59
35,a,14/03/2019 05:02:01
36,a,14/03/2019 05:02:13
33,b,14/03/2019 05:02:32
31,d,14/03/2019 05:02:38
32,d,14/03/2019 05:02:58
34,c,14/03/2019 05:02:59
35,b,14/03/2019 05:03:01
36,b,14/03/2019 05:03:13
37,a,14/03/2019 05:03:30
33,d,14/03/2019 05:03:32
38,a,14/03/2019 05:03:50
34,d,14/03/2019 05:03:59
35,d,14/03/2019 05:04:01
36,d,14/03/2019 05:04:13
39,a,14/03/2019 05:04:15
37,c,14/03/2019 05:04:30
38,b,14/03/2019 05:04:50
39,b,14/03/2019 05:05:15
37,d,14/03/2019 05:05:30
38,d,14/03/2019 05:05:50
39,d,14/03/2019 05:06:15
40,a,14/03/2019 05:06:51
41,a,14/03/2019 05:06:59
42,a,14/03/2019 05:07:26
40,b,14/03/2019 05:07:51
41,c,14/03/2019 05:07:59
42,b,14/03/2019 05:08:26
43,a,14/03/2019 05:08:47
40,d,14/03/2019 05:08:51
41,d,14/03/2019 05:08:59
42,d,14/03/2019 05:09:26
44,a,14/03/2019 05:09:45
43,b,14/03/2019 05:09:47
45,a,14/03/2019 05:10:25
44,c,14/03/2019 05:10:45
43,d,14/03/2019 05:10:47
45,c,14/03/2019 05:11:25
44,d,14/03/2019 05:11:45
45,d,14/03/2019 05:12:25
46,a,14/03/2019 05:13:00
46,c,14/03/2019 05:14:00
47,a,14/03/2019 05:14:28
46,d,14/03/2019 05:15:00
47,b,14/03/2019 05:15:28
48,a,14/03/2019 05:16:02
49,a,14/03/2019 05:16:11
47,d,14/03/2019 05:16:28
50,a,14/03/2019 05:16:42
48,c,14/03/2019 05:17:02
49,b,14/03/2019 05:17:11
51,a,14/03/2019 05:17:20
50,c,14/03/2019 05:17:42
48,d,14/03/2019 05:18:02
49,d,14/03/2019 05:18:11
51,c,14/03/2019 05:18:20
50,d,14/03/2019 05:18:42
51,d,14/03/2019 05:19:20
52,a,14/03/2019 05:19:40
53,a,14/03/2019 05:19:45
54,a,14/03/2019 05:19:45
55,a,14/03/2019 05:20:38
52,b,14/03/2019 05:20:40
53,b,14/03/2019 05:20:45
54,b,14/03/2019 05:20:45
55,c,14/03/2019 05:21:38
52,d,14/03/2019 05:21:40
53,d,14/03/2019 05:21:45
54,d,14/03/2019 05:21:45
55,d,14/03/2019 05:22:38
56,a,14/03/2019 05:22:54
57,a,14/03/2019 05:23:32
56,c,14/03/2019 05:23:54
57,c,14/03/2019 05:24:32
58,a,14/03/2019 05:24:42
56,d,14/03/2019 05:24:54
57,d,14/03/2019 05:25:32
58,b,14/03/2019 05:25:42
59,a,14/03/2019 05:26:26
58,d,14/03/2019 05:26:42
59,c,14/03/2019 05:27:26
60,a,14/03/2019 05:28:09
59,d,14/03/2019 05:28:26
60,c,14/03/2019 05:29:09
60,d,14/03/2019 05:30:09
61,a,14/03/2019 05:30:16
61,c,14/03/2019 05:31:16
61,d,14/03/2019 05:32:16
62,a,14/03/2019 05:34:22
63,a,14/03/2019 05:34:23
64,a,14/03/2019 05:34:27
65,a,14/03/2019 05:34:27
66,a,14/03/2019 05:34:28
62,b,14/03/2019 05:35:22
63,c,14/03/2019 05:35:23
64,b,14/03/2019 05:35:27
65,b,14/03/2019 05:35:27
66,b,14/03/2019 05:35:28
62,d,14/03/2019 05:36:22
63,d,14/03/2019 05:36:23
64,d,14/03/2019 05:36:27
65,d,14/03/2019 05:36:27
66,d,14/03/2019 05:36:28
67,a,14/03/2019 05:36:36
68,a,14/03/2019 05:37:00
69,a,14/03/2019 05:37:15
67,b,14/03/2019 05:37:36
68,b,14/03/2019 05:38:00
69,b,14/03/2019 05:38:15
67,d,14/03/2019 05:38:36
68,d,14/03/2019 05:39:00
69,d,14/03/2019 05:39:15
70,a,14/03/2019 05:39:38
71,a,14/03/2019 05:39:57
70,b,14/03/2019 05:40:38
71,c,14/03/2019 05:40:57
72,a,14/03/2019 05:41:01
70,d,14/03/2019 05:41:38
71,d,14/03/2019 05:41:57
72,c,14/03/2019 05:42:01
73,a,14/03/2019 05:42:49
72,d,14/03/2019 05:43:01
73,b,14/03/2019 05:43:49
73,d,14/03/2019 05:44:49
74,a,14/03/2019 05:44:59
75,a,14/03/2019 05:45:44
76,a,14/03/2019 05:45:54
74,c,14/03/2019 05:45:59
77,a,14/03/2019 05:46:00
78,a,14/03/2019 05:46:20
75,c,14/03/2019 05:46:44
76,b,14/03/2019 05:46:54
74,d,14/03/2019 05:46:59
77,c,14/03/2019 05:47:00
78,b,14/03/2019 05:47:20
75,d,14/03/2019 05:47:44
76,d,14/03/2019 05:47:54
77,d,14/03/2019 05:48:00
78,d,14/03/2019 05:48:20
79,a,14/03/2019 05:51:40
80,a,14/03/2019 05:52:39
79,c,14/03/2019 05:52:40
80,c,14/03/2019 05:53:39
79,d,14/03/2019 05:53:40
80,d,14/03/2019 05:54:39
81,a,14/03/2019 05:54:39
81,b,14/03/2019 05:55:39
82,a,14/03/2019 05:56:32
81,d,14/03/2019 05:56:39
83,a,14/03/2019 05:57:13
82,c,14/03/2019 05:57:32
84,a,14/03/2019 05:57:38
83,c,14/03/2019 05:58:13
82,d,14/03/2019 05:58:32
84,c,14/03/2019 05:58:38
85,a,14/03/2019 05:58:39
83,d,14/03/2019 05:59:13
84,d,14/03/2019 05:59:38
85,b,14/03/2019 05:59:39
86,a,14/03/2019 05:59:41
85,d,14/03/2019 06:00:39
86,c,14/03/2019 06:00:41
87,a,14/03/2019 06:00:53
88,a,14/03/2019 06:01:09
86,d,14/03/2019 06:01:41
87,c,14/03/2019 06:01:53
88,c,14/03/2019 06:02:09
89,a,14/03/2019 06:02:50
87,d,14/03/2019 06:02:53
88,d,14/03/2019 06:03:09
89,b,14/03/2019 06:03:50
89,d,14/03/2019 06:04:50
90,a,14/03/2019 06:04:58
90,c,14/03/2019 06:05:58
91,a,14/03/2019 06:06:41
90,d,14/03/2019 06:06:58
92,a,14/03/2019 06:07:21
91,b,14/03/2019 06:07:41
92,c,14/03/2019 06:08:21
93,a,14/03/2019 06:08:25
91,d,14/03/2019 06:08:41
92,d,14/03/2019 06:09:21
93,c,14/03/2019 06:09:25
94,a,14/03/2019 06:09:30
93,d,14/03/2019 06:10:25
94,c,14/03/2019 06:10:30
94,d,14/03/2019 06:11:30
95,a,14/03/2019 06:14:04
96,a,14/03/2019 06:14:42
95,c,14/03/2019 06:15:04
97,a,14/03/2019 06:15:33
96,c,14/03/2019 06:15:42
95,d,14/03/2019 06:16:04
98,a,14/03/2019 06:16:20
97,b,14/03/2019 06:16:33
96,d,14/03/2019 06:16:42
98,b,14/03/2019 06:17:20
97,d,14/03/2019 06:17:33
99,a,14/03/2019 06:17:43
98,d,14/03/2019 06:18:20
99,c,14/03/2019 06:18:43
100,a,14/03/2019 06:19:36
99,d,14/03/2019 06:19:43
101,a,14/03/2019 06:19:59
102,a,14/03/2019 06:20:28
100,b,14/03/2019 06:20:36
101,b,14/03/2019 06:20:59
103,a,14/03/2019 06:21:15
102,c,14/03/2019 06:21:28
100,d,14/03/2019 06:21:36
101,d,14/03/2019 06:21:59
103,c,14/03/2019 06:22:15
104,a,14/03/2019 06:22:20
102,d,14/03/2019 06:22:28
105,a,14/03/2019 06:22:31
103,d,14/03/2019 06:23:15
104,b,14/03/2019 06:23:20
105,c,14/03/2019 06:23:31
106,a,14/03/2019 06:23:49
104,d,14/03/2019 06:24:20
105,d,14/03/2019 06:24:31
106,b,14/03/2019 06:24:49
107,a,14/03/2019 06:25:29
108,a,14/03/2019 06:25:40
