case,activity,timestamp
0,a,14/03/2019 03:33:50
0,c,14/03/2019 03:34:50
0,b,14/03/2019 03:35:50
0,d,14/03/2019 03:36:50
1,a,14/03/2019 03:34:02
1,c,14/03/2019 03:35:02
1,b,14/03/2019 03:36:02
1,d,14/03/2019 03:37:02
2,a,14/03/2019 03:34:16
2,b,14/03/2019 03:35:16
2,c,14/03/2019 03:36:16
2,d,14/03/2019 03:37:16
3,a,14/03/2019 03:34:17
3,c,14/03/2019 03:35:17
3,b,14/03/2019 03:36:17
3,d,14/03/2019 03:37:17
4,a,14/03/2019 03:36:41
4,b,14/03/2019 03:37:41
4,c,14/03/2019 03:38:41
4,d,14/03/2019 03:39:41
5,a,14/03/2019 03:38:07
5,b,14/03/2019 03:39:07
5,c,14/03/2019 03:40:07
5,d,14/03/2019 03:41:07
6,a,14/03/2019 03:38:15
6,c,14/03/2019 03:39:15
6,b,14/03/2019 03:40:15
6,d,14/03/2019 03:41:15
7,a,14/03/2019 03:38:15
7,b,14/03/2019 03:39:15
7,c,14/03/2019 03:40:15
7,d,14/03/2019 03:41:15
8,a,14/03/2019 03:38:56
8,c,14/03/2019 03:39:56
8,b,14/03/2019 03:40:56
8,d,14/03/2019 03:41:56
9,a,14/03/2019 03:39:47
9,b,14/03/2019 03:40:47
9,c,14/03/2019 03:41:47
9,d,14/03/2019 03:42:47
10,a,14/03/2019 03:40:44
10,c,14/03/2019 03:41:44
10,b,14/03/2019 03:42:44
10,d,14/03/2019 03:43:44
11,a,14/03/2019 03:40:52
11,b,14/03/2019 03:41:52
11,c,14/03/2019 03:42:52
11,d,14/03/2019 03:43:52
12,a,14/03/2019 03:40:57
12,b,14/03/2019 03:41:57
12,c,14/03/2019 03:42:57
12,d,14/03/2019 03:43:57
13,a,14/03/2019 03:42:13
13,c,14/03/2019 03:43:13
13,b,14/03/2019 03:44:13
13,d,14/03/2019 03:45:13
14,a,14/03/2019 03:43:20
14,b,14/03/2019 03:44:20
14,c,14/03/2019 03:45:20
14,d,14/03/2019 03:46:20
15,a,14/03/2019 03:43:43
15,c,14/03/2019 03:44:43
15,b,14/03/2019 03:45:43
15,d,14/03/2019 03:46:43
16,a,14/03/2019 03:44:17
16,b,14/03/2019 03:45:17
16,c,14/03/2019 03:46:17
16,d,14/03/2019 03:47:17
17,a,14/03/2019 03:45:20
17,c,14/03/2019 03:46:20
17,b,14/03/2019 03:47:20
17,d,14/03/2019 03:48:20
18,a,14/03/2019 03:46:42
18,c,14/03/2019 03:47:42
18,b,14/03/2019 03:48:42
18,d,14/03/2019 03:49:42
19,a,14/03/2019 03:47:31
19,b,14/03/2019 03:48:31
19,c,14/03/2019 03:49:31
19,d,14/03/2019 03:50:31
20,a,14/03/2019 03:48:28
20,b,14/03/2019 03:49:28
20,c,14/03/2019 03:50:28
20,d,14/03/2019 03:51:28
21,a,14/03/2019 03:48:32
21,c,14/03/2019 03:49:32
21,b,14/03/2019 03:50:32
21,d,14/03/2019 03:51:32
22,a,14/03/2019 03:48:40
22,c,14/03/2019 03:49:40
22,b,14/03/2019 03:50:40
22,d,14/03/2019 03:51:40
23,a,14/03/2019 03:50:17
23,b,14/03/2019 03:51:17
23,c,14/03/2019 03:52:17
23,d,14/03/2019 03:53:17
24,a,14/03/2019 03:50:47
24,b,14/03/2019 03:51:47
24,c,14/03/2019 03:52:47
24,d,14/03/2019 03:53:47
25,a,14/03/2019 03:51:59
25,c,14/03/2019 03:52:59
25,b,14/03/2019 03:53:59
25,d,14/03/2019 03:54:59
26,a,14/03/2019 03:52:17
26,c,14/03/2019 03:53:17
26,b,14/03/2019 03:54:17
26,d,14/03/2019 03:55:17
27,a,14/03/2019 03:53:35
27,c,14/03/2019 03:54:35
27,b,14/03/2019 03:55:35
27,d,14/03/2019 03:56:35
28,a,14/03/2019 03:55:21
28,c,14/03/2019 03:56:21
28,b,14/03/2019 03:57:21
28,d,14/03/2019 03:58:21
29,a,14/03/2019 03:55:27
29,c,14/03/2019 03:56:27
29,b,14/03/2019 03:57:27
29,d,14/03/2019 03:58:27
30,a,14/03/2019 03:56:15
30,c,14/03/2019 03:57:15
30,b,14/03/2019 03:58:15
30,d,14/03/2019 03:59:15
31,a,14/03/2019 03:56:23
31,c,14/03/2019 03:57:23
31,b,14/03/2019 03:58:23
31,d,14/03/2019 03:59:23
32,a,14/03/2019 03:56:41
32,c,14/03/2019 03:57:41
32,b,14/03/2019 03:58:41
32,d,14/03/2019 03:59:41
33,a,14/03/2019 03:56:45
