"case","event","startTime","completeTime","simulated:logProbability","concept:simulated"
"0","A","2019/03/07 05:43:22.884","2019/03/07 05:43:22.884","-1.0986122886681098","true"
"0","B","2019/03/07 05:44:22.884","2019/03/07 05:44:22.884","-1.0986122886681098","true"
"0","E","2019/03/07 05:45:22.884","2019/03/07 05:45:22.884","-1.0986122886681098","true"
"0","C","2019/03/07 05:46:22.884","2019/03/07 05:46:22.884","-1.0986122886681098","true"
"0","F","2019/03/07 05:47:22.884","2019/03/07 05:47:22.884","-1.0986122886681098","true"
"1","A","2019/03/07 05:45:36.139","2019/03/07 05:45:36.139","-1.0986122886681098","true"
"1","B","2019/03/07 05:46:36.139","2019/03/07 05:46:36.139","-1.0986122886681098","true"
"1","E","2019/03/07 05:47:36.139","2019/03/07 05:47:36.139","-1.0986122886681098","true"
"1","C","2019/03/07 05:48:36.139","2019/03/07 05:48:36.139","-1.0986122886681098","true"
"1","F","2019/03/07 05:49:36.139","2019/03/07 05:49:36.139","-1.0986122886681098","true"
"2","A","2019/03/07 05:45:39.805","2019/03/07 05:45:39.805","-1.0986122886681098","true"
"2","B","2019/03/07 05:46:39.805","2019/03/07 05:46:39.805","-1.0986122886681098","true"
"2","E","2019/03/07 05:47:39.805","2019/03/07 05:47:39.805","-1.0986122886681098","true"
"2","C","2019/03/07 05:48:39.805","2019/03/07 05:48:39.805","-1.0986122886681098","true"
"2","F","2019/03/07 05:49:39.805","2019/03/07 05:49:39.805","-1.0986122886681098","true"
"3","A","2019/03/07 05:48:18.389","2019/03/07 05:48:18.389","-1.0986122886681098","true"
"3","B","2019/03/07 05:49:18.389","2019/03/07 05:49:18.389","-1.0986122886681098","true"
"3","D","2019/03/07 05:50:18.389","2019/03/07 05:50:18.389","-1.0986122886681098","true"
"3","C","2019/03/07 05:51:18.389","2019/03/07 05:51:18.389","-1.0986122886681098","true"
"3","F","2019/03/07 05:52:18.389","2019/03/07 05:52:18.389","-1.0986122886681098","true"
"4","A","2019/03/07 05:50:07.006","2019/03/07 05:50:07.006","-1.0986122886681098","true"
"4","B","2019/03/07 05:51:07.006","2019/03/07 05:51:07.006","-1.0986122886681098","true"
"4","E","2019/03/07 05:52:07.006","2019/03/07 05:52:07.006","-1.0986122886681098","true"
"4","C","2019/03/07 05:53:07.006","2019/03/07 05:53:07.006","-1.0986122886681098","true"
"4","F","2019/03/07 05:54:07.006","2019/03/07 05:54:07.006","-1.0986122886681098","true"
"5","A","2019/03/07 05:50:22.725","2019/03/07 05:50:22.725","-1.791759469228055","true"
"5","B","2019/03/07 05:51:22.725","2019/03/07 05:51:22.725","-1.791759469228055","true"
"5","C","2019/03/07 05:52:22.725","2019/03/07 05:52:22.725","-1.791759469228055","true"
"5","D","2019/03/07 05:53:22.725","2019/03/07 05:53:22.725","-1.791759469228055","true"
"5","F","2019/03/07 05:54:22.725","2019/03/07 05:54:22.725","-1.791759469228055","true"
"6","A","2019/03/07 05:51:11.123","2019/03/07 05:51:11.123","-1.0986122886681098","true"
"6","B","2019/03/07 05:52:11.123","2019/03/07 05:52:11.123","-1.0986122886681098","true"
"6","D","2019/03/07 05:53:11.123","2019/03/07 05:53:11.123","-1.0986122886681098","true"
"6","C","2019/03/07 05:54:11.123","2019/03/07 05:54:11.123","-1.0986122886681098","true"
"6","F","2019/03/07 05:55:11.123","2019/03/07 05:55:11.123","-1.0986122886681098","true"
"7","A","2019/03/07 05:53:36.434","2019/03/07 05:53:36.434","-1.0986122886681098","true"
"7","B","2019/03/07 05:54:36.434","2019/03/07 05:54:36.434","-1.0986122886681098","true"
"7","D","2019/03/07 05:55:36.434","2019/03/07 05:55:36.434","-1.0986122886681098","true"
"7","C","2019/03/07 05:56:36.434","2019/03/07 05:56:36.434","-1.0986122886681098","true"
"7","F","2019/03/07 05:57:36.434","2019/03/07 05:57:36.434","-1.0986122886681098","true"
"8","A","2019/03/07 05:53:47.707","2019/03/07 05:53:47.707","-1.0986122886681098","true"
"8","B","2019/03/07 05:54:47.707","2019/03/07 05:54:47.707","-1.0986122886681098","true"
"8","E","2019/03/07 05:55:47.707","2019/03/07 05:55:47.707","-1.0986122886681098","true"
"8","C","2019/03/07 05:56:47.707","2019/03/07 05:56:47.707","-1.0986122886681098","true"
"8","F","2019/03/07 05:57:47.707","2019/03/07 05:57:47.707","-1.0986122886681098","true"
"9","A","2019/03/07 05:56:36.705","2019/03/07 05:56:36.705","-1.0986122886681098","true"
"9","B","2019/03/07 05:57:36.705","2019/03/07 05:57:36.705","-1.0986122886681098","true"
"9","D","2019/03/07 05:58:36.705","2019/03/07 05:58:36.705","-1.0986122886681098","true"
"9","C","2019/03/07 05:59:36.705","2019/03/07 05:59:36.705","-1.0986122886681098","true"
"9","F","2019/03/07 06:00:36.705","2019/03/07 06:00:36.705","-1.0986122886681098","true"
