"case","event","startTime","completeTime","simulated:logProbability","concept:simulated"
"0","A","2019/03/07 05:59:02.553","2019/03/07 05:59:02.553","-1.0986122886681098","true"
"0","B","2019/03/07 06:00:02.553","2019/03/07 06:00:02.553","-1.0986122886681098","true"
"0","E","2019/03/07 06:01:02.553","2019/03/07 06:01:02.553","-1.0986122886681098","true"
"0","C","2019/03/07 06:02:02.553","2019/03/07 06:02:02.553","-1.0986122886681098","true"
"0","F","2019/03/07 06:03:02.553","2019/03/07 06:03:02.553","-1.0986122886681098","true"
"1","A","2019/03/07 05:59:37.226","2019/03/07 05:59:37.226","-1.0986122886681098","true"
"1","B","2019/03/07 06:00:37.226","2019/03/07 06:00:37.226","-1.0986122886681098","true"
"1","E","2019/03/07 06:01:37.226","2019/03/07 06:01:37.226","-1.0986122886681098","true"
"1","C","2019/03/07 06:02:37.226","2019/03/07 06:02:37.226","-1.0986122886681098","true"
"1","F","2019/03/07 06:03:37.226","2019/03/07 06:03:37.226","-1.0986122886681098","true"
"2","A","2019/03/07 06:00:11.935","2019/03/07 06:00:11.935","-1.0986122886681098","true"
"2","B","2019/03/07 06:01:11.935","2019/03/07 06:01:11.935","-1.0986122886681098","true"
"2","E","2019/03/07 06:02:11.935","2019/03/07 06:02:11.935","-1.0986122886681098","true"
"2","C","2019/03/07 06:03:11.935","2019/03/07 06:03:11.935","-1.0986122886681098","true"
"2","F","2019/03/07 06:04:11.935","2019/03/07 06:04:11.935","-1.0986122886681098","true"
"3","A","2019/03/07 06:03:30.468","2019/03/07 06:03:30.468","-1.0986122886681098","true"
"3","B","2019/03/07 06:04:30.468","2019/03/07 06:04:30.468","-1.0986122886681098","true"
"3","D","2019/03/07 06:05:30.468","2019/03/07 06:05:30.468","-1.0986122886681098","true"
"3","C","2019/03/07 06:06:30.468","2019/03/07 06:06:30.468","-1.0986122886681098","true"
"3","F","2019/03/07 06:07:30.468","2019/03/07 06:07:30.468","-1.0986122886681098","true"
"4","A","2019/03/07 06:04:36.187","2019/03/07 06:04:36.187","-1.0986122886681098","true"
"4","B","2019/03/07 06:05:36.187","2019/03/07 06:05:36.187","-1.0986122886681098","true"
"4","E","2019/03/07 06:06:36.187","2019/03/07 06:06:36.187","-1.0986122886681098","true"
"4","C","2019/03/07 06:07:36.187","2019/03/07 06:07:36.187","-1.0986122886681098","true"
"4","F","2019/03/07 06:08:36.187","2019/03/07 06:08:36.187","-1.0986122886681098","true"
"5","A","2019/03/07 06:04:43.890","2019/03/07 06:04:43.890","-1.791759469228055","true"
"5","B","2019/03/07 06:05:43.890","2019/03/07 06:05:43.890","-1.791759469228055","true"
"5","C","2019/03/07 06:06:43.890","2019/03/07 06:06:43.890","-1.791759469228055","true"
"5","D","2019/03/07 06:07:43.890","2019/03/07 06:07:43.890","-1.791759469228055","true"
"5","F","2019/03/07 06:08:43.890","2019/03/07 06:08:43.890","-1.791759469228055","true"
"6","A","2019/03/07 06:05:22.987","2019/03/07 06:05:22.987","-1.0986122886681098","true"
"6","B","2019/03/07 06:06:22.987","2019/03/07 06:06:22.987","-1.0986122886681098","true"
"6","D","2019/03/07 06:07:22.987","2019/03/07 06:07:22.987","-1.0986122886681098","true"
"6","C","2019/03/07 06:08:22.987","2019/03/07 06:08:22.987","-1.0986122886681098","true"
"6","F","2019/03/07 06:09:22.987","2019/03/07 06:09:22.987","-1.0986122886681098","true"
"7","A","2019/03/07 06:05:34.509","2019/03/07 06:05:34.509","-1.0986122886681098","true"
"7","B","2019/03/07 06:06:34.509","2019/03/07 06:06:34.509","-1.0986122886681098","true"
"7","D","2019/03/07 06:07:34.509","2019/03/07 06:07:34.509","-1.0986122886681098","true"
"7","C","2019/03/07 06:08:34.509","2019/03/07 06:08:34.509","-1.0986122886681098","true"
"7","F","2019/03/07 06:09:34.509","2019/03/07 06:09:34.509","-1.0986122886681098","true"
"8","A","2019/03/07 06:05:38.032","2019/03/07 06:05:38.032","-1.0986122886681098","true"
"8","B","2019/03/07 06:06:38.032","2019/03/07 06:06:38.032","-1.0986122886681098","true"
"8","E","2019/03/07 06:07:38.032","2019/03/07 06:07:38.032","-1.0986122886681098","true"
"8","C","2019/03/07 06:08:38.032","2019/03/07 06:08:38.032","-1.0986122886681098","true"
"8","F","2019/03/07 06:09:38.032","2019/03/07 06:09:38.032","-1.0986122886681098","true"
"9","A","2019/03/07 06:06:46.130","2019/03/07 06:06:46.130","-1.0986122886681098","true"
"9","B","2019/03/07 06:07:46.130","2019/03/07 06:07:46.130","-1.0986122886681098","true"
"9","D","2019/03/07 06:08:46.130","2019/03/07 06:08:46.130","-1.0986122886681098","true"
"9","C","2019/03/07 06:09:46.130","2019/03/07 06:09:46.130","-1.0986122886681098","true"
"9","F","2019/03/07 06:10:46.130","2019/03/07 06:10:46.130","-1.0986122886681098","true"
"10","A","2019/03/07 06:07:11.938","2019/03/07 06:07:11.938","-1.791759469228055","true"
"10","B","2019/03/07 06:08:11.938","2019/03/07 06:08:11.938","-1.791759469228055","true"
"10","C","2019/03/07 06:09:11.938","2019/03/07 06:09:11.938","-1.791759469228055","true"
"10","D","2019/03/07 06:10:11.938","2019/03/07 06:10:11.938","-1.791759469228055","true"
"10","F","2019/03/07 06:11:11.938","2019/03/07 06:11:11.938","-1.791759469228055","true"
"11","A","2019/03/07 06:08:24.285","2019/03/07 06:08:24.285","-1.0986122886681098","true"
"11","B","2019/03/07 06:09:24.285","2019/03/07 06:09:24.285","-1.0986122886681098","true"
"11","E","2019/03/07 06:10:24.285","2019/03/07 06:10:24.285","-1.0986122886681098","true"
"11","C","2019/03/07 06:11:24.285","2019/03/07 06:11:24.285","-1.0986122886681098","true"
"11","F","2019/03/07 06:12:24.285","2019/03/07 06:12:24.285","-1.0986122886681098","true"
"12","A","2019/03/07 06:09:50.955","2019/03/07 06:09:50.955","-1.0986122886681098","true"
"12","B","2019/03/07 06:10:50.955","2019/03/07 06:10:50.955","-1.0986122886681098","true"
"12","E","2019/03/07 06:11:50.955","2019/03/07 06:11:50.955","-1.0986122886681098","true"
"12","C","2019/03/07 06:12:50.955","2019/03/07 06:12:50.955","-1.0986122886681098","true"
"12","F","2019/03/07 06:13:50.955","2019/03/07 06:13:50.955","-1.0986122886681098","true"
"13","A","2019/03/07 06:10:47.541","2019/03/07 06:10:47.541","-1.0986122886681098","true"
"13","B","2019/03/07 06:11:47.541","2019/03/07 06:11:47.541","-1.0986122886681098","true"
"13","E","2019/03/07 06:12:47.541","2019/03/07 06:12:47.541","-1.0986122886681098","true"
"13","C","2019/03/07 06:13:47.541","2019/03/07 06:13:47.541","-1.0986122886681098","true"
"13","F","2019/03/07 06:14:47.541","2019/03/07 06:14:47.541","-1.0986122886681098","true"
"14","A","2019/03/07 06:11:12.064","2019/03/07 06:11:12.064","-1.0986122886681098","true"
"14","B","2019/03/07 06:12:12.064","2019/03/07 06:12:12.064","-1.0986122886681098","true"
"14","E","2019/03/07 06:13:12.064","2019/03/07 06:13:12.064","-1.0986122886681098","true"
"14","C","2019/03/07 06:14:12.064","2019/03/07 06:14:12.064","-1.0986122886681098","true"
"14","F","2019/03/07 06:15:12.064","2019/03/07 06:15:12.064","-1.0986122886681098","true"
"15","A","2019/03/07 06:13:46.595","2019/03/07 06:13:46.595","-1.0986122886681098","true"
"15","B","2019/03/07 06:14:46.595","2019/03/07 06:14:46.595","-1.0986122886681098","true"
"15","E","2019/03/07 06:15:46.595","2019/03/07 06:15:46.595","-1.0986122886681098","true"
"15","C","2019/03/07 06:16:46.595","2019/03/07 06:16:46.595","-1.0986122886681098","true"
