activity,timestamp
START EVENT,63584562307988
START EVENT,63584562307988
START FUNCTION,63584565907988
START FUNCTION,63584565907988
helper transition 14[{XOR}->{fixed asset was bought w/o purchase order}],63584569507988
helper transition 14[{XOR}->{fixed asset was bought w/o purchase order}],63584569507988
fixed asset was bought w/o purchase order,63584573107988
fixed asset was bought w/o purchase order,63584573107988
helper transition 11[{fixed asset was bought w/o purchase order}->{XOR}],63584576707988
helper transition 11[{fixed asset was bought w/o purchase order}->{XOR}],63584576707988
creation of master record for tangible assets,63584580307988
creation of master record for tangible assets,63584580307988
helper transition 19[{XOR}->{acquisition within group to be posted}],63584583907988
helper transition 19[{XOR}->{acquisition within group to be posted}],63584583907988
acquisition within group to be posted,63584587507988
acquisition within group to be posted,63584587507988
processing of asset acquisition,63584591107988
processing of asset acquisition,63584591107988
acquisition within group posted,63584594707988
acquisition within group posted,63584594707988
helper transition 15[{acquisition within group posted}->{XOR}],63584598307988
helper transition 15[{acquisition within group posted}->{XOR}],63584598307988
END FUNCTION,63584601907988
END FUNCTION,63584601907988
END EVENT,63584605507988
END EVENT,63584605507988
START EVENT,63584702707988
START EVENT,63584702707988
START FUNCTION,63584706307988
START FUNCTION,63584706307988
helper transition 14[{XOR}->{fixed asset was bought w/o purchase order}],63584709907988
helper transition 14[{XOR}->{fixed asset was bought w/o purchase order}],63584709907988
fixed asset was bought w/o purchase order,63584713507988
fixed asset was bought w/o purchase order,63584713507988
helper transition 11[{fixed asset was bought w/o purchase order}->{XOR}],63584717107988
helper transition 11[{fixed asset was bought w/o purchase order}->{XOR}],63584717107988
creation of master record for tangible assets,63584720707988
creation of master record for tangible assets,63584720707988
helper transition 4[{XOR}->{retirement within group to be posted}],63584724307988
helper transition 4[{XOR}->{retirement within group to be posted}],63584724307988
retirement within group to be posted,63584727907988
retirement within group to be posted,63584727907988
retirement,63584731507988
retirement,63584731507988
retirement from group posted,63584735107988
retirement from group posted,63584735107988
helper transition 7[{retirement from group posted}->{XOR}],63584738707988
helper transition 7[{retirement from group posted}->{XOR}],63584738707988
END FUNCTION,63584742307988
END FUNCTION,63584742307988
END EVENT,63584745907988
END EVENT,63584745907988
START EVENT,63584889907988
START EVENT,63584889907988
START FUNCTION,63584893507988
START FUNCTION,63584893507988
helper transition 14[{XOR}->{fixed asset was bought w/o purchase order}],63584897107988
helper transition 14[{XOR}->{fixed asset was bought w/o purchase order}],63584897107988
fixed asset was bought w/o purchase order,63584900707988
fixed asset was bought w/o purchase order,63584900707988
helper transition 11[{fixed asset was bought w/o purchase order}->{XOR}],63584904307988
