activity,timestamp
a,14/03/2019 04:31
a,14/03/2019 04:31
a,14/03/2019 04:32
b,14/03/2019 04:32
b,14/03/2019 04:32
c,14/03/2019 04:33
a,14/03/2019 04:33
d,14/03/2019 04:33
d,14/03/2019 04:33
d,14/03/2019 04:34
b,14/03/2019 04:34
a,14/03/2019 04:35
d,14/03/2019 04:35
b,14/03/2019 04:36
a,14/03/2019 04:36
a,14/03/2019 04:36
d,14/03/2019 04:37
c,14/03/2019 04:37
a,14/03/2019 04:37
b,14/03/2019 04:37
a,14/03/2019 04:37
d,14/03/2019 04:38
b,14/03/2019 04:38
d,14/03/2019 04:38
b,14/03/2019 04:38
a,14/03/2019 04:39
d,14/03/2019 04:39
d,14/03/2019 04:39
b,14/03/2019 04:40
a,14/03/2019 04:40
a,14/03/2019 04:40
d,14/03/2019 04:41
c,14/03/2019 04:41
b,14/03/2019 04:41
d,14/03/2019 04:42
a,14/03/2019 04:42
d,14/03/2019 04:42
a,14/03/2019 04:43
a,14/03/2019 04:43
c,14/03/2019 04:43
a,14/03/2019 04:43
c,14/03/2019 04:44
b,14/03/2019 04:44
d,14/03/2019 04:44
c,14/03/2019 04:44
d,14/03/2019 04:45
a,14/03/2019 04:45
d,14/03/2019 04:45
d,14/03/2019 04:45
c,14/03/2019 04:46
a,14/03/2019 04:46
a,14/03/2019 04:46
a,14/03/2019 04:46
d,14/03/2019 04:47
a,14/03/2019 04:47
b,14/03/2019 04:47
c,14/03/2019 04:47
b,14/03/2019 04:47
b,14/03/2019 04:48
a,14/03/2019 04:48
d,14/03/2019 04:48
d,14/03/2019 04:48
d,14/03/2019 04:48
d,14/03/2019 04:49
b,14/03/2019 04:49
a,14/03/2019 04:49
a,14/03/2019 04:50
d,14/03/2019 04:50
b,14/03/2019 04:50
c,14/03/2019 04:51
d,14/03/2019 04:51
a,14/03/2019 04:51
d,14/03/2019 04:52
b,14/03/2019 04:52
d,14/03/2019 04:53
a,14/03/2019 04:54
a,14/03/2019 04:54
a,14/03/2019 04:55
a,14/03/2019 04:55
b,14/03/2019 04:55
b,14/03/2019 04:55
a,14/03/2019 04:55
b,14/03/2019 04:56
b,14/03/2019 04:56
d,14/03/2019 04:56
d,14/03/2019 04:56
c,14/03/2019 04:56
d,14/03/2019 04:57
d,14/03/2019 04:57
d,14/03/2019 04:57
a,14/03/2019 04:58
b,14/03/2019 04:59
d,14/03/2019 05:00
a,14/03/2019 05:00
a,14/03/2019 05:00
a,14/03/2019 05:01
c,14/03/2019 05:01
c,14/03/2019 05:01
a,14/03/2019 05:01
a,14/03/2019 05:02
a,14/03/2019 05:02
b,14/03/2019 05:02
d,14/03/2019 05:02
d,14/03/2019 05:02
c,14/03/2019 05:02
b,14/03/2019 05:03
b,14/03/2019 05:03
a,14/03/2019 05:03
d,14/03/2019 05:03
a,14/03/2019 05:03
d,14/03/2019 05:03
d,14/03/2019 05:04
d,14/03/2019 05:04
a,14/03/2019 05:04
c,14/03/2019 05:04
b,14/03/2019 05:04
b,14/03/2019 05:05
d,14/03/2019 05:05
d,14/03/2019 05:05
d,14/03/2019 05:06
a,14/03/2019 05:06
a,14/03/2019 05:06
a,14/03/2019 05:07
b,14/03/2019 05:07
c,14/03/2019 05:07
b,14/03/2019 05:08
a,14/03/2019 05:08
d,14/03/2019 05:08
d,14/03/2019 05:08
d,14/03/2019 05:09
a,14/03/2019 05:09
b,14/03/2019 05:09
a,14/03/2019 05:10
c,14/03/2019 05:10
d,14/03/2019 05:10
c,14/03/2019 05:11
d,14/03/2019 05:11
d,14/03/2019 05:12
a,14/03/2019 05:13
c,14/03/2019 05:14
a,14/03/2019 05:14
d,14/03/2019 05:15
b,14/03/2019 05:15
a,14/03/2019 05:16
a,14/03/2019 05:16
d,14/03/2019 05:16
a,14/03/2019 05:16
c,14/03/2019 05:17
b,14/03/2019 05:17
a,14/03/2019 05:17
c,14/03/2019 05:17
d,14/03/2019 05:18
d,14/03/2019 05:18
c,14/03/2019 05:18
d,14/03/2019 05:18
d,14/03/2019 05:19
a,14/03/2019 05:19
a,14/03/2019 05:19
a,14/03/2019 05:19
a,14/03/2019 05:20
b,14/03/2019 05:20
b,14/03/2019 05:20
b,14/03/2019 05:20
c,14/03/2019 05:21
d,14/03/2019 05:21
d,14/03/2019 05:21
d,14/03/2019 05:21
d,14/03/2019 05:22
a,14/03/2019 05:22
a,14/03/2019 05:23
c,14/03/2019 05:23
c,14/03/2019 05:24
a,14/03/2019 05:24
d,14/03/2019 05:24
d,14/03/2019 05:25
b,14/03/2019 05:25
a,14/03/2019 05:26
d,14/03/2019 05:26
c,14/03/2019 05:27
a,14/03/2019 05:28
d,14/03/2019 05:28
c,14/03/2019 05:29
d,14/03/2019 05:30
a,14/03/2019 05:30
c,14/03/2019 05:31
d,14/03/2019 05:32
a,14/03/2019 05:34
a,14/03/2019 05:34
a,14/03/2019 05:34
a,14/03/2019 05:34
a,14/03/2019 05:34
b,14/03/2019 05:35
c,14/03/2019 05:35
b,14/03/2019 05:35
b,14/03/2019 05:35
b,14/03/2019 05:35
d,14/03/2019 05:36
d,14/03/2019 05:36
d,14/03/2019 05:36
d,14/03/2019 05:36
d,14/03/2019 05:36
a,14/03/2019 05:36
a,14/03/2019 05:37
a,14/03/2019 05:37
b,14/03/2019 05:37
b,14/03/2019 05:38
b,14/03/2019 05:38
d,14/03/2019 05:38
d,14/03/2019 05:39
d,14/03/2019 05:39
a,14/03/2019 05:39
a,14/03/2019 05:39
b,14/03/2019 05:40
c,14/03/2019 05:40
a,14/03/2019 05:41
d,14/03/2019 05:41
d,14/03/2019 05:41
c,14/03/2019 05:42
a,14/03/2019 05:42
d,14/03/2019 05:43
b,14/03/2019 05:43
d,14/03/2019 05:44
a,14/03/2019 05:44
a,14/03/2019 05:45
a,14/03/2019 05:45
c,14/03/2019 05:45
a,14/03/2019 05:46
a,14/03/2019 05:46
c,14/03/2019 05:46
b,14/03/2019 05:46
d,14/03/2019 05:46
c,14/03/2019 05:47
b,14/03/2019 05:47
d,14/03/2019 05:47
d,14/03/2019 05:47
d,14/03/2019 05:48
d,14/03/2019 05:48
a,14/03/2019 05:51
a,14/03/2019 05:52
c,14/03/2019 05:52
c,14/03/2019 05:53
d,14/03/2019 05:53
d,14/03/2019 05:54
a,14/03/2019 05:54
b,14/03/2019 05:55
a,14/03/2019 05:56
d,14/03/2019 05:56
a,14/03/2019 05:57
c,14/03/2019 05:57
a,14/03/2019 05:57
c,14/03/2019 05:58
d,14/03/2019 05:58
c,14/03/2019 05:58
a,14/03/2019 05:58
d,14/03/2019 05:59
d,14/03/2019 05:59
b,14/03/2019 05:59
a,14/03/2019 05:59
d,14/03/2019 06:00
c,14/03/2019 06:00
a,14/03/2019 06:00
a,14/03/2019 06:01
d,14/03/2019 06:01
c,14/03/2019 06:01
c,14/03/2019 06:02
a,14/03/2019 06:02
d,14/03/2019 06:02
d,14/03/2019 06:03
b,14/03/2019 06:03
d,14/03/2019 06:04
a,14/03/2019 06:04
c,14/03/2019 06:05
a,14/03/2019 06:06
d,14/03/2019 06:06
